timestamp,load,ram_usage
2488095909,0.646363,0.871892
2489096463,0.724787,0.870469
2490099466,0.704554,0.870469
2491100466,0.717178,0.872095
2492101683,0.706514,0.872095
2493104095,0.701658,0.870469
2494104704,0.707784,0.86986
2495107968,0.71305,0.872095
2496108375,0.697473,0.870469
2497112153,0.709489,0.870469
2498113560,0.72118,0.872095
2499116193,0.712106,0.872095
2500117197,0.701764,0.870469
2501118868,0.698078,0.86986
2502120309,0.720404,0.872095
2503121727,0.70034,0.872095
2504122651,0.704982,0.870469
2505125189,0.708402,0.872095
2506126408,0.711071,0.872095
2507127573,0.70604,0.870469
2508128860,0.71446,0.86986
2509129636,0.716341,0.872095
2510131206,0.704546,0.872095
2511134493,0.704091,0.870469
2512138268,0.706584,0.86986
2513140229,0.722032,0.872095
2514141949,0.703291,0.870469
2515143326,0.702143,0.870469
2516144422,0.711151,0.872095
2517146086,0.697082,0.872095
2518147581,0.706528,0.870469
2519148865,0.710904,0.86986
2520149710,0.717945,0.872095
2521151449,0.695136,0.870469
2522152820,0.700131,0.870469
2523153967,0.720855,0.872095
2524156071,0.707612,0.872095
2525157653,0.711837,0.870469
2526158370,0.704259,0.86986
2527159887,0.717385,0.872095
2528160398,0.70934,0.870469
2529164418,0.71314,0.870469
2530172264,0.722967,0.872095
2531174282,0.705981,0.872095
2532175326,0.698991,0.870469
2533176453,0.704611,0.86986
2534177691,0.719003,0.872095
2535179999,0.710257,0.872095
2536181535,0.708892,0.870469
2537183998,0.700331,0.872095
2538184383,0.718448,0.872095
2539188032,0.694201,0.870469
2540188397,0.70273,0.870469
2541189781,0.714433,0.872095
2542190720,0.698627,0.872095
2543191967,0.712055,0.870469
2544194312,0.707087,0.86986
2545195484,0.720718,0.872095
2547197845,0.695385,0.870469
2548200400,0.715749,0.872095
2549201939,0.702957,0.872095
2550204326,0.711677,0.870469
2551205706,0.70472,0.86986
2552207612,0.716586,0.872095
2553208799,0.700265,0.870469
2554210059,0.706072,0.870469
2555211427,0.720475,0.872095
2556213000,0.709009,0.872095
2557214648,0.699456,0.870469
2558216276,0.706204,0.86986
2559217603,0.715377,0.872095
2560219925,0.707397,0.872095
2561221840,0.71288,0.870469
2562225183,0.70459,0.872095
2563228412,0.70976,0.872095
2564229515,0.698645,0.870469
2565231299,0.712709,0.86986
2566232986,0.721733,0.872095
2567235158,0.714919,0.872095
2568237175,0.705368,0.870469
2569239667,0.70352,0.86986
2570240448,0.710174,0.872095
2571241919,0.696779,0.870469
2572243961,0.707655,0.870469
2573245786,0.717396,0.872095
2574247443,0.704288,0.872095
2575249056,0.711589,0.870469
2576250477,0.709843,0.86986
2577251980,0.719554,0.872095
2578253090,0.704163,0.870469
2579255880,0.70244,0.870469
2580261232,0.717443,0.872095
2581262345,0.70543,0.872095
2582264365,0.707955,0.870469
2583267987,0.70592,0.86986
2584270493,0.718417,0.872095
2585272080,0.69987,0.870469
2586273591,0.704682,0.870469
2587274844,0.715369,0.872095
2588276329,0.713406,0.872095
2589277682,0.704019,0.870469
2590278723,0.699984,0.86986
2591279580,0.711687,0.872095
2592280780,0.710235,0.872095
2593281692,0.706551,0.870469
2594283106,0.71394,0.86986
2595285138,0.720644,0.872095
2596288080,0.699766,0.870469
2597289143,0.703385,0.870469
2598290793,0.722389,0.872095
2599293162,0.707323,0.872095
2600295971,0.713246,0.870469
2601297227,0.695899,0.86986
2602299496,0.711564,0.872095
2603301812,0.703737,0.870469
2604304180,0.708374,0.870469
2605309773,0.71789,0.872095
2606313226,0.707869,0.872095
2607314758,0.702371,0.870469
2608316224,0.699484,0.86986
2609317850,0.715301,0.872095
2610319651,0.708144,0.870469
2611321222,0.70989,0.870469
2612323656,0.724067,0.872095
2613326043,0.702115,0.872095
2614329016,0.703584,0.870469
2615330427,0.711112,0.86986
2616332170,0.720034,0.872095
2617335602,0.711731,0.872095
2618338840,0.701443,0.870469
2619344016,0.711146,0.872095
2620346293,0.706543,0.872095
2621347658,0.708654,0.870469
2622349713,0.709385,0.86986
2623352949,0.719805,0.872095
2624353360,0.696727,0.872095
2625355950,0.708738,0.870469
2626357800,0.70133,0.86986
2627360910,0.719526,0.872095
2628361664,0.711898,0.870469
2629362486,0.702435,0.870469
2630363646,0.724275,0.872095
2631364584,0.709242,0.872095
2632366363,0.697637,0.870469
2633368260,0.703626,0.86986
2634369537,0.723956,0.872095
2635371481,0.707158,0.870469
2636373457,0.708363,0.870469
2637374326,0.719901,0.872095
2638375390,0.704998,0.872095
2639377043,0.702831,0.870469
2640377975,0.704883,0.86986
2641379479,0.722468,0.872095
2642381359,0.704309,0.872095
2643382802,0.702587,0.870469
2644385069,0.71467,0.872095
2645385350,0.719936,0.872095
2646389654,0.707182,0.870469
