timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
2506645030,19.3695,20.1699,12.4088,10.486,304.765,0.501765,1.1543,6,1,0
2506944953,20.0648,20.0618,10.4092,10.9793,305.753,0.486747,1.15969,6,1,0
2507249258,19.9766,20.034,10.8338,10.8878,306.66,0.481588,1.16156,6,1,0
2507538878,19.6731,19.9792,11.7925,11.036,307.564,0.473121,1.16463,6,1,0
2507850595,19.487,19.9018,12.2308,11.3197,308.581,0.462082,1.16866,6,1,0
2508150656,19.4087,19.8102,12.2171,11.7203,309.612,0.450221,1.17302,6,1,0
2508452220,19.6535,19.6924,11.2447,12.3227,310.725,0.435578,1.17845,6,1,0
2508752430,19.9668,19.7775,9.65588,11.399,311.564,0.447613,1.17399,6,1,0
2509052268,20.7111,19.9748,6.80706,9.89194,312.209,0.473748,1.1644,6,1,0
2509352354,19.7612,20.0332,12.1623,9.64557,312.959,0.480796,1.16184,6,1,0
2509653848,19.957,20.0348,10.8338,9.95803,313.83,0.481891,1.16145,6,1,0
2509953902,20.7013,20.0846,7.56035,9.75792,314.634,0.488806,1.15895,6,1,0
2510253832,19.9864,20.1439,9.88872,9.40463,315.365,0.495166,1.15666,6,1,0
2510553912,20.1137,20.14,9.64219,9.55778,316.186,0.493369,1.15731,6,1,0
2510859441,20.055,20.1074,10.4229,9.87296,317.062,0.488062,1.15922,6,1,0
2511159940,20.1823,20.081,9.25869,10.0446,317.926,0.485101,1.16029,6,1,0
2511460392,20.2508,20.1147,9.35456,9.82232,318.719,0.490815,1.15823,6,1,0
2511761189,19.82,20.1026,11.094,9.93676,319.558,0.490525,1.15833,6,1,0
2512061597,19.7906,20.0429,11.2857,10.4155,320.488,0.484468,1.16051,6,1,0
2512362003,20.0941,20.0172,10.6557,10.6105,321.401,0.482603,1.16119,6,1,0
2512662566,20.29,20.0551,9.51892,10.2898,322.224,0.488319,1.15913,6,1,0
2512962648,20.4271,20.1068,9.09434,9.93153,323.008,0.495086,1.15669,6,1,0
2513266764,20.2508,20.1287,9.71067,9.80466,323.82,0.497711,1.15575,6,1,0
2513566672,19.8493,20.1231,10.6146,9.86738,324.645,0.497016,1.156,6,1,0
2513868226,20.7209,20.1699,7.7384,9.55996,325.42,0.503783,1.15358,6,1,0
2514168264,20.4369,20.2293,8.79302,9.19857,326.138,0.5116,1.15079,6,1,0
2514468421,20.3781,20.2849,8.95737,8.91198,326.845,0.518939,1.14819,6,1,0
2514768412,20.3683,20.3075,8.8478,8.81459,327.566,0.521805,1.14718,6,1,0
2515065905,20.3292,20.3226,9.01216,8.793,328.291,0.523833,1.14646,6,1,0
2515366401,19.9668,20.2969,10.1353,9.00199,329.064,0.520349,1.14769,6,1,0
2515666829,20.1529,20.234,9.53262,9.42927,329.91,0.512399,1.15051,6,1,0
2515977861,20.1725,20.2178,9.42305,9.46337,330.732,0.510326,1.15125,6,1,0
2516279453,20.0452,20.1915,9.91611,9.56113,331.544,0.506478,1.15262,6,1,0
2516579439,20.0354,20.1683,9.69697,9.61054,332.35,0.502811,1.15392,6,1,0
2516879792,20.1823,20.1499,9.6011,9.64735,333.16,0.499979,1.15494,6,1,0
2517181083,19.8689,20.1253,10.6009,9.72685,333.98,0.496451,1.1562,6,1,0
2517481166,20.0354,20.0714,9.99829,10.0128,334.854,0.489345,1.15876,6,1,0
2517781081,20.006,20.0462,9.87502,10.0827,335.702,0.486442,1.1598,6,1,0
