timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
2488366624,0.0,0.0,0.0,0.999222,0.021159,-0.033279,0.0007047
2488556807,0.0,0.0,0.0,0.999136,0.0232394,-0.03444,0.000801056
2488755551,0.0,0.0,0.0,0.999036,0.0253028,-0.0358649,0.000908401
2488856818,0.0,0.0,0.0,0.998987,0.0264462,-0.036388,0.000963298
2488955367,0.0,0.0,0.0,0.998866,0.0291273,-0.0376342,0.00109742
2489157536,0.0,0.0,0.0,0.998691,0.0313991,-0.0403676,0.00126917
2489250804,0.0,0.0,0.0,0.9987,0.0305991,-0.0407414,0.00124832
2489355369,0.0,0.0,0.0,0.998773,0.0276515,-0.0410757,0.00113724
2489556286,0.0,0.0,0.0,0.998841,0.0251862,-0.0409937,0.00103367
2489656705,0.0,0.0,0.0,0.99885,0.024936,-0.0409465,0.00102226
2489754857,0.0,0.0,0.0,0.998802,0.0264913,-0.0411229,0.00109071
2489854855,0.0,0.0,0.0,0.998766,0.0271001,-0.0415906,0.00112854
2490055803,0.0,0.0,0.0,0.998665,0.0281312,-0.0433135,0.00122013
2490251689,0.0,0.0,0.0,0.998725,0.0234266,-0.0446934,0.0010484
2490356148,0.0,0.0,0.0,0.998799,0.0201763,-0.0446311,0.000901571
2490557012,0.0,0.0,0.0,0.998945,0.0162783,-0.042934,0.000699633
2490659335,0.0,0.0,0.0,0.998988,0.0158652,-0.0420787,0.000668263
2490856009,0.0,0.0,0.0,0.999038,0.0165833,-0.0405921,0.000673841
2490956332,0.0,0.0,0.0,0.999038,0.0159548,-0.0408526,0.000652421
2491050472,0.0,0.0,0.0,0.999037,0.0149656,-0.0412408,0.000617788
2491147867,0.0,0.0,0.0,0.999065,0.0113427,-0.0417143,0.00047364
2491356925,0.0,0.0,0.0,-0.999343,0.0227064,0.0282585,0.000642028
2491454659,0.0,0.0,0.0,0.999477,-0.0200599,-0.0253485,-0.000508754
2491557385,0.0,0.0,0.0,-0.999474,0.0211767,0.0245653,0.000520441
2491656962,0.0,0.0,0.0,0.999104,-0.0347836,-0.0241041,-0.00083918
2491749649,0.0,0.0,0.0,0.998382,-0.0527977,-0.0211028,-0.00111599
2491850176,0.0,0.0,0.0,0.998599,-0.0498869,-0.0175973,-0.000879104
2492056169,0.0,0.0,0.0,0.999954,-0.00877461,-0.00393895,-3.45643e-05
2492151436,0.0,0.0,0.0,0.999999,-0.000249342,0.00151189,4.20688e-07
2492358551,0.0,0.0,0.0,0.999792,0.00841468,0.0185852,-0.000156421
2492556631,0.0,0.0,0.0,0.99933,0.0259626,0.0257779,-0.000669711
2492654837,0.0,0.0,0.0,-0.999524,-0.0260526,-0.0165344,0.000430924
2492857291,0.0,0.0,0.0,0.999982,0.004766,0.00376307,-1.79351e-05
2493054227,0.0,0.0,0.0,0.999918,0.00224295,0.0126165,-2.83005e-05
2493156671,0.0,0.0,0.0,0.999929,0.00336697,0.0114465,-3.85429e-05
2493355356,0.0,0.0,0.0,0.999995,0.00176075,0.00278354,-4.90115e-06
2493454374,0.0,0.0,0.0,0.999991,0.00254086,0.0032904,-8.3605e-06
2493553921,0.0,0.0,0.0,-0.999978,-0.00300409,-0.00594689,1.78217e-05
2493756739,0.0,0.0,0.0,-0.999832,-0.0151468,-0.0103312,0.000156467
2493857032,0.0,0.0,0.0,0.999698,0.0209828,0.0127897,-0.000268444
2493952279,0.0,0.0,0.0,-0.999582,-0.0227657,-0.0178032,0.000405428
2494052163,0.0,0.0,0.0,-0.999557,-0.0184788,-0.0233403,0.000431448
2494251222,0.0,0.0,0.0,0.999955,0.00661202,0.00673979,-4.45656e-05
2494356163,0.0,0.0,0.0,0.999995,0.00300867,-0.000395491,1.23362e-06
2494555208,0.0,0.0,0.0,0.999999,0.000845139,-0.00135905,1.14859e-06
2494656243,0.0,0.0,0.0,-0.999999,-0.00116737,-0.000979498,1.09973e-06
2494753729,0.0,0.0,0.0,-0.999976,-0.00186661,-0.00670446,1.24712e-05
2494857265,0.0,0.0,0.0,-0.999959,-0.00264713,-0.00869149,2.29648e-05
2495050436,0.0,0.0,0.0,0.999768,0.00496454,0.02094,-0.000103981
2495144016,0.0,0.0,0.0,-0.999776,-0.0104147,-0.0184094,0.000191729
2495251212,0.0,0.0,0.0,0.999873,0.010294,0.0121924,-0.000125525
2495454071,0.0,0.0,0.0,-0.999886,-0.0151109,-0.000383529,5.75243e-06
2495556439,0.0,0.0,0.0,0.999483,0.0321186,-0.00109885,3.53556e-05
2495755882,0.0,0.0,0.0,0.999004,0.0446223,-0.000726883,3.25113e-05
2495855201,0.0,0.0,0.0,0.999572,0.02922,0.00158128,-4.62249e-05
2495952312,0.0,0.0,0.0,-0.999598,-0.0282661,-0.00240273,6.78995e-05
2496051970,0.0,0.0,0.0,-0.999613,-0.0276065,-0.00338063,9.33197e-05
2496141384,0.0,0.0,0.0,0.999843,0.017502,0.00292303,-5.11668e-05
2496242112,0.0,0.0,0.0,-0.999988,-0.00461202,-0.00170809,7.83412e-06
2496346880,0.0,0.0,0.0,-0.999998,-0.00120063,-0.00128753,1.50214e-06
2496554299,0.0,0.0,0.0,-0.999991,-0.0010075,-0.00414092,4.12832e-06
2496658743,0.0,0.0,0.0,0.999995,0.000173088,0.00331768,-5.74255e-07
2496755054,0.0,0.0,0.0,0.999997,-0.000346442,0.00222509,7.70866e-07
2496855240,0.0,0.0,0.0,0.999999,-0.000258003,0.00156973,4.04994e-07
2496957731,0.0,0.0,0.0,0.999996,0.00216925,0.00172297,-3.73758e-06
2497058634,0.0,0.0,0.0,-0.999999,-0.000555233,-0.00129493,6.75275e-07
2497168760,0.0,0.0,0.0,1.0,-0.000402764,0.000797347,3.64854e-07
2497254420,0.0,0.0,0.0,1.0,-0.000212387,0.000806645,2.15033e-07
2497358776,0.0,0.0,0.0,-0.999978,-0.00663259,-0.000489062,3.20011e-06
2497469452,0.0,0.0,0.0,0.999955,0.0095032,0.000351642,-3.34187e-06
2497656745,0.0,0.0,0.0,-0.99996,-0.00891919,-0.00109652,9.73675e-06
2497755945,0.0,0.0,0.0,0.999962,0.0081625,0.0031384,-2.56182e-05
2497955901,0.0,0.0,0.0,-0.999467,-0.0325502,-0.0024583,8.00169e-05
2498057125,0.0,0.0,0.0,0.999263,0.0383565,0.00169233,-6.49599e-05
2498157593,0.0,0.0,0.0,-0.999385,-0.0350795,-9.06203e-05,3.13713e-06
2498257318,0.0,0.0,0.0,0.999532,0.0305461,-0.0015847,4.8429e-05
2498456379,0.0,0.0,0.0,0.999857,0.0168541,-0.00155928,2.6284e-05
2498552197,0.0,0.0,0.0,0.999853,0.0171294,5.42682e-05,-9.2972e-07
2498652234,0.0,0.0,0.0,-0.999927,-0.0120053,-0.000951178,1.13763e-05
2498735284,0.0,0.0,0.0,-0.99998,-0.00581219,-0.00237802,1.37781e-05
2498955635,0.0,0.0,0.0,-0.999868,-0.000418802,-0.0162507,6.76302e-06
2499055545,0.0,0.0,0.0,-0.999926,-0.00507818,-0.0110204,5.59238e-05
2499148034,0.0,0.0,0.0,-0.999891,-0.0133029,-0.0063488,8.44231e-05
2499353712,0.0,0.0,0.0,-0.999913,-0.0132163,-0.000605249,7.95614e-06
2499455906,0.0,0.0,0.0,0.9996,0.0282501,-0.00126974,3.59284e-05
2499655246,0.0,0.0,0.0,0.999746,0.0225262,0.00108156,-2.43696e-05
2499756501,0.0,0.0,0.0,-0.999812,-0.0193773,-0.00063272,1.2219e-05
2499854920,0.0,0.0,0.0,0.999874,0.0156578,-0.00246025,3.85706e-05
2500051046,0.0,0.0,0.0,0.999994,0.00255178,-0.00236397,6.03239e-06
2500151320,0.0,0.0,0.0,1.0,-0.000206069,0.000369267,1.19806e-07
2500255067,0.0,0.0,0.0,0.999995,-0.00103209,0.00304644,3.14421e-06
2500456621,0.0,0.0,0.0,0.999898,0.000368753,-0.0143048,5.31918e-06
2500659353,0.0,0.0,0.0,0.999626,-6.07636e-05,-0.0273415,-1.66199e-06
2500745780,0.0,0.0,0.0,0.999747,0.00127928,-0.0224564,2.87352e-05
