timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
2488084097,2488084097,2487984092,0,0,1,216,205,72,91,96,51,68
2489116390,2488084097,2489116390,0,0,1,216,209,78,88,72,51,68
2489126554,2489126554,2489116390,0,0,1,216,209,78,88,72,51,68
2490007122,2489126554,2490007122,0,0,1,216,213,71,87,89,51,68
2490107501,2490107501,2490007122,0,0,1,216,213,71,87,89,51,68
2491129039,2490107501,2491129039,0,0,1,215,209,75,89,56,51,68
2491150540,2491150540,2491129039,0,0,1,215,209,75,89,56,51,68
2492132409,2492132409,2491129039,0,0,1,215,209,75,89,56,51,68
2492211344,2492132409,2492211344,0,0,1,216,203,76,86,86,51,68
2493032362,2493032362,2492211344,0,0,1,216,203,76,86,86,51,68
2493072837,2493032362,2493072837,0,0,1,215,207,74,86,96,51,68
2494059347,2493032362,2494059347,0,0,1,215,209,72,90,79,51,68
2494064902,2494064902,2494059347,0,0,1,215,209,72,90,79,51,68
2495059373,2495059373,2494059347,0,0,1,215,209,72,90,79,51,68
2495106172,2495059373,2495106172,0,0,1,215,201,76,88,82,51,68
2495966828,2495059373,2495966828,0,0,1,213,200,70,92,96,51,68
2496086368,2496086368,2495966828,0,0,1,213,200,70,92,96,51,68
2497082361,2497082361,2495966828,0,0,1,213,200,70,92,96,51,68
2497209731,2497082361,2497209731,0,0,1,207,208,71,91,89,51,68
2497990498,2497082361,2497990498,0,0,1,210,198,69,91,96,51,68
2498110913,2498110913,2497990498,0,0,1,210,198,69,91,96,51,68
2498996678,2498110913,2498996678,0,0,1,207,185,71,87,92,51,68
2499107472,2499107472,2498996678,0,0,1,207,185,71,87,92,51,68
2500127552,2499107472,2500127552,0,0,1,207,198,77,86,75,51,68
2500138473,2500138473,2500127552,0,0,1,207,198,77,86,75,51,68
2501059456,2500138473,2501059456,0,0,1,204,196,71,89,92,51,68
2501095153,2501095153,2501059456,0,0,1,204,196,71,89,92,51,68
2502036882,2502036882,2501059456,0,0,1,204,196,71,89,92,51,68
2502081368,2502036882,2502081368,0,0,1,210,202,74,90,70,51,68
2503052958,2502036882,2503052958,0,0,1,210,206,66,87,100,51,68
2503067378,2503067378,2503052958,0,0,1,210,206,66,87,100,51,68
2504059982,2504059982,2503052958,0,0,1,210,206,66,87,100,51,68
2504180345,2504059982,2504180345,0,0,1,213,198,73,87,78,51,68
2505084416,2504059982,2505084416,0,0,1,214,204,70,86,96,51,68
2505101383,2505101383,2505084416,0,0,1,214,204,70,86,96,51,68
2506083948,2506083948,2505084416,0,0,1,214,204,70,86,96,51,68
2506433352,2506083948,2506433352,0,0,1,212,191,72,85,71,51,68
2507107447,2506083948,2507107447,0,0,1,212,193,75,88,96,51,68
2507127485,2507127485,2507107447,0,0,1,212,193,75,88,96,51,68
2508021471,2508021471,2507107447,0,0,1,212,193,75,88,96,51,68
2508235971,2508021471,2508235971,0,0,1,208,196,75,88,78,51,68
2508916922,2508021471,2508916922,0,0,1,204,193,71,87,96,51,68
2509012587,2509012587,2508916922,0,0,1,204,193,71,87,96,51,68
2510052352,2510052352,2508916922,0,0,1,204,193,71,87,96,51,68
2510268351,2510052352,2510268351,0,0,1,211,205,72,84,82,51,68
2511034427,2511034427,2510268351,0,0,1,211,205,72,84,82,51,68
2511161516,2511034427,2511161516,0,0,1,208,196,75,88,100,51,68
2512056338,2511034427,2512056338,0,0,1,208,200,68,88,96,51,68
2512072551,2512072551,2512056338,0,0,1,208,200,68,88,96,51,68
2513059427,2513059427,2512056338,0,0,1,208,200,68,88,96,51,68
2513295340,2513059427,2513295340,0,0,1,209,194,78,85,57,51,68
2514095334,2514095334,2513295340,0,0,1,209,194,78,85,57,51,68
2514197456,2514095334,2514197456,0,0,1,212,197,75,86,76,51,68
2514982439,2514095334,2514982439,0,0,1,212,202,76,87,71,51,68
2515086783,2515086783,2514982439,0,0,1,212,202,76,87,71,51,68
2516109067,2515086783,2516109067,0,0,1,212,199,75,86,75,51,68
2516113521,2516113521,2516109067,0,0,1,212,199,75,86,75,51,68
2516896664,2516113521,2516896664,0,0,1,214,201,66,92,100,51,68
2517014389,2517014389,2516896664,0,0,1,214,201,66,92,100,51,68
2517966543,2517014389,2517966543,0,0,1,214,205,76,86,100,51,68
2518143367,2518143367,2517966543,0,0,1,214,205,76,86,100,51,68
2518917714,2518143367,2518917714,0,0,1,213,200,81,84,100,51,68
2519045460,2519045460,2518917714,0,0,1,213,200,81,84,100,51,68
2519931339,2519045460,2519931339,0,0,1,210,199,75,88,90,51,68
2520034434,2520034434,2519931339,0,0,1,210,199,75,88,90,51,68
2521066646,2521066646,2519931339,0,0,1,210,199,75,88,90,51,68
2521311413,2521066646,2521311413,0,0,1,211,204,75,91,84,51,68
2521965386,2521066646,2521965386,0,0,1,208,192,76,93,91,51,68
2522060340,2522060340,2521965386,0,0,1,208,192,76,93,91,51,68
2523083744,2522060340,2523083744,0,0,1,208,197,70,86,89,51,68
2523095360,2523095360,2523083744,0,0,1,208,197,70,86,89,51,68
2523991534,2523095360,2523991534,0,0,1,215,204,75,89,96,51,68
2524036416,2524036416,2523991534,0,0,1,215,204,75,89,96,51,68
2524999379,2524036416,2524999379,0,0,1,214,205,69,90,89,51,68
2525129133,2525129133,2524999379,0,0,1,214,205,69,90,89,51,68
2526059428,2525129133,2526059428,0,0,1,215,205,76,88,92,51,68
2526087391,2526087391,2526059428,0,0,1,215,205,76,88,92,51,68
2527146381,2527146381,2526059428,0,0,1,215,205,76,88,92,51,68
