timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2489675529,-0.0,-0.0230564,-0.0789091,-1.28538e-14,0.999155,-0.000454713,-0.011519,-0.0394417,0.0,-1.0,1,0,0,0,0,0,0
2489715247,-0.0,-0.0271114,-0.0779526,-1.28538e-14,0.999149,-0.000528201,-0.013545,-0.0389629,0.0,-1.0,1,0,0,0,0,0,0
2489745606,-0.0,-0.0307886,-0.0780943,-1.28538e-14,0.999119,-0.000600927,-0.015382,-0.0390326,0.0,-1.0,1,0,0,0,0,0,0
2489775353,-0.0,-0.0311795,-0.0775084,-1.28538e-14,0.999128,-0.000603992,-0.0155774,-0.0387398,0.0,-1.0,1,0,0,0,0,0,0
2489806249,-0.0,-0.0307303,-0.0769826,-1.28538e-14,0.999141,-0.000591255,-0.0153532,-0.0384772,0.0,-1.0,1,0,0,0,0,0,0
2489835641,-0.0,-0.0288541,-0.0771294,-1.28538e-14,0.999152,-0.000556219,-0.0144158,-0.0385511,0.0,-1.0,1,0,0,0,0,0,0
2489865973,-0.0,-0.0329928,-0.0765099,-1.28538e-14,0.999132,-0.000630886,-0.0164836,-0.0382404,0.0,-1.0,1,0,0,0,0,0,0
2489895649,-0.0,-0.0537365,-0.0761684,-1.28538e-14,0.998914,-0.00102289,-0.0268455,-0.0380613,0.0,-1.0,1,0,0,0,0,0,0
2489935921,-0.0,-0.0573223,-0.0760088,-1.28538e-14,0.998868,-0.00108884,-0.0286365,-0.0379796,0.0,-1.0,1,0,0,0,0,0,0
2489966325,-0.0,-0.0557163,-0.0753872,-1.28538e-14,0.998902,-0.00104969,-0.0278348,-0.0376701,0.0,-1.0,1,0,0,0,0,0,0
2489996179,-0.0,-0.0554959,-0.0755374,-1.28538e-14,0.998902,-0.00104762,-0.0277246,-0.0377452,0.0,-1.0,1,0,0,0,0,0,0
2490026448,-0.0,-0.0555998,-0.0751034,-1.28538e-14,0.998909,-0.00104355,-0.0277767,-0.0375284,0.0,-1.0,1,0,0,0,0,0,0
2490056189,-0.0,-0.0524617,-0.0746115,-1.28538e-14,0.99896,-0.000978223,-0.0262096,-0.0372843,0.0,-1.0,1,0,0,0,0,0,0
2490086668,-0.0,-0.0508395,-0.0748096,-1.28538e-14,0.998978,-0.000950497,-0.0253992,-0.037384,0.0,-1.0,1,0,0,0,0,0,0
2490116054,-0.00184216,-0.0506828,-0.074166,-1.28538e-14,0.99899,-0.00185957,-0.0252871,-0.0370859,0.0,-1.0,1,0,0,0,0,0,0
2490156013,-0.0137468,-0.0518262,-0.0740065,-1.28538e-14,0.99895,-0.00782485,-0.0256377,-0.0371595,0.0,-1.0,1,0,0,0,0,0,0
2490186422,-0.0177471,-0.0516018,-0.0738032,-1.28538e-14,0.998939,-0.00981616,-0.0254522,-0.0371083,0.0,-1.0,1,0,0,0,0,0,0
2490216274,-0.0246508,-0.0525407,-0.0731114,-1.28538e-14,0.998899,-0.0132725,-0.0257975,-0.0368557,0.0,-1.0,1,0,0,0,0,0,0
2490246323,-0.0321239,-0.0566917,-0.0732844,-1.28538e-14,0.998782,-0.0170822,-0.0277312,-0.0370695,0.0,-1.0,1,0,0,0,0,0,0
2490276232,-0.0405095,-0.060497,-0.0728705,-1.28538e-14,0.998652,-0.0213321,-0.0294802,-0.0370152,0.0,-1.0,1,0,0,0,0,0,0
2490306753,-0.0474944,-0.0621965,-0.0723921,-1.28538e-14,0.998553,-0.0248429,-0.0302052,-0.0368983,0.0,-1.0,1,0,0,0,0,0,0
2490336357,-0.0465875,-0.0622667,-0.0725993,-1.28538e-14,0.99856,-0.0243944,-0.0302545,-0.0369888,0.0,-1.0,1,0,0,0,0,0,0
2490376710,-0.0478174,-0.0612904,-0.0718411,-1.28538e-14,0.998574,-0.0249799,-0.0297538,-0.0366177,0.0,-1.0,1,0,0,0,0,0,0
2490406827,-0.0447137,-0.0606119,-0.0719056,-1.28538e-14,0.998621,-0.0234192,-0.029471,-0.0365965,0.0,-1.0,1,0,0,0,0,0,0
2490436550,-0.0390902,-0.0611907,-0.0718173,-1.28538e-14,0.998675,-0.0206202,-0.0298637,-0.0364748,0.0,-1.0,1,0,0,0,0,0,0
2490466821,-0.0384515,-0.0619897,-0.0712722,-1.28538e-14,0.998679,-0.0203071,-0.0302799,-0.0362003,0.0,-1.0,1,0,0,0,0,0,0
2490496688,-0.0423307,-0.0622278,-0.0714922,-1.28538e-14,0.99863,-0.0222515,-0.0303261,-0.0363711,0.0,-1.0,1,0,0,0,0,0,0
2490527387,-0.0437279,-0.0654844,-0.0712721,-1.28538e-14,0.998565,-0.0230027,-0.0319293,-0.0363161,0.0,-1.0,1,0,0,0,0,0,0
2490556906,-0.0354256,-0.0823275,-0.0708584,-1.28538e-14,0.998343,-0.0191432,-0.040493,-0.0361146,0.0,-1.0,1,0,0,0,0,0,0
2490597738,-0.032341,-0.0900871,-0.0711145,-1.28538e-14,0.998198,-0.0177437,-0.0444197,-0.0362367,0.0,-1.0,1,0,0,0,0,0,0
2490627093,-0.0309376,-0.0881434,-0.0705892,-1.28538e-14,0.998263,-0.016998,-0.0434794,-0.0359299,0.0,-1.0,1,0,0,0,0,0,0
2490657097,-0.0290474,-0.0864905,-0.0708187,-1.28538e-14,0.998311,-0.0160309,-0.0426865,-0.0359926,0.0,-1.0,1,0,0,0,0,0,0
2490687094,-0.0272689,-0.0842627,-0.070848,-1.28538e-14,0.998373,-0.015105,-0.0416061,-0.0359558,0.0,-1.0,1,0,0,0,0,0,0
2490716888,-0.027986,-0.0790972,-0.0704332,-1.28538e-14,0.998481,-0.0153649,-0.0390176,-0.0357312,0.0,-1.0,1,0,0,0,0,0,0
2490757153,-0.0317354,-0.0743287,-0.0708342,-1.28538e-14,0.998536,-0.0171616,-0.0365663,-0.03597,0.0,-1.0,1,0,0,0,0,0,0
2490787860,-0.0373148,-0.072772,-0.0704585,-1.28538e-14,0.99852,-0.0199135,-0.0356924,-0.0358708,0.0,-1.0,1,0,0,0,0,0,0
2490817027,-0.0502482,-0.063915,-0.0704962,-1.28538e-14,0.998525,-0.0262187,-0.0310373,-0.0360139,0.0,-1.0,1,0,0,0,0,0,0
2490847552,-0.0540822,-0.0606054,-0.0707979,-1.28538e-14,0.99852,-0.0280803,-0.0293115,-0.0361811,0.0,-1.0,1,0,0,0,0,0,0
2490877815,-0.0574275,-0.0587576,-0.0704288,-1.28538e-14,0.998507,-0.0297134,-0.0283339,-0.0360203,0.0,-1.0,1,0,0,0,0,0,0
