timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
556394804,4.94355,0,1,0,0,0
556694773,4.94678,0,1,0,0,0
556994773,4.83721,0,1,0,0,0
557294773,4.94033,0,1,0,0,0
557594773,4.95322,0,1,0,0,0
557904824,4.92422,0,1,0,0,0
558204816,4.99834,0,1,0,0,0
558504827,4.98867,0,1,0,0,0
558804791,4.98545,0,1,0,0,0
559104820,4.98062,0,1,0,0,0
559404815,4.97739,0,1,0,0,0
559704817,4.97256,0,1,0,0,0
560004795,4.98867,0,1,0,0,0
560314773,4.94678,0,1,0,0,0
560614773,4.88555,0,1,0,0,0
560914773,4.95967,0,1,0,0,0
561214773,4.95967,0,1,0,0,0
561514775,4.95322,0,1,0,0,0
561814773,4.95,0,1,0,0,0
562114777,4.96611,0,1,0,0,0
562414773,4.95322,0,1,0,0,0
562714773,4.94678,0,1,0,0,0
563014773,4.91455,0,1,0,0,0
563314781,4.99189,0,1,0,0,0
563614773,4.95967,0,1,0,0,0
563924815,4.99189,0,1,0,0,0
564224817,4.94517,0,1,0,0,0
564524816,4.9355,0,1,0,0,0
564824813,4.91133,0,1,0,0,0
565124797,4.93066,0,1,0,0,0
565424789,4.89199,0,1,0,0,0
565724826,4.97256,0,1,0,0,0
566024777,4.93389,0,1,0,0,0
566334775,4.91455,0,1,0,0,0
566634773,4.92905,0,1,0,0,0
566934773,4.92744,0,1,0,0,0
567234783,4.92744,0,1,0,0,0
567534773,4.921,0,1,0,0,0
567834776,4.94517,0,1,0,0,0
568134813,4.9355,0,1,0,0,0
568434773,4.93711,0,1,0,0,0
568734773,4.87588,0,1,0,0,0
569034773,4.92261,0,1,0,0,0
569334787,4.91294,0,1,0,0,0
569634773,4.92744,0,1,0,0,0
569944816,4.90649,0,1,0,0,0
570244787,4.91455,0,1,0,0,0
570544806,4.92744,0,1,0,0,0
570844815,4.921,0,1,0,0,0
571144791,4.9645,0,1,0,0,0
571444795,4.91938,0,1,0,0,0
571744777,4.90972,0,1,0,0,0
572044797,4.91938,0,1,0,0,0
572344774,4.91777,0,1,0,0,0
572654773,4.90811,0,1,0,0,0
572954773,4.93872,0,1,0,0,0
573254773,4.92422,0,1,0,0,0
573554773,4.92905,0,1,0,0,0
573854790,4.93711,0,1,0,0,0
574154773,4.93228,0,1,0,0,0
574454773,4.9355,0,1,0,0,0
574754775,4.93872,0,1,0,0,0
575054773,4.92583,0,1,0,0,0
575354773,4.93872,0,1,0,0,0
575654784,4.92422,0,1,0,0,0
575964772,4.91455,0,1,0,0,0
576264802,4.88232,0,1,0,0,0
576564835,4.95322,0,1,0,0,0
576864771,4.95967,0,1,0,0,0
577164815,4.93066,0,1,0,0,0
577464807,4.95483,0,1,0,0,0
577764798,4.96289,0,1,0,0,0
578064792,4.921,0,1,0,0,0
578374773,4.90488,0,1,0,0,0
578674773,4.87266,0,1,0,0,0
578974773,4.89683,0,1,0,0,0
579274773,4.94033,0,1,0,0,0
579574773,4.87588,0,1,0,0,0
579874773,4.92261,0,1,0,0,0
580174773,4.92583,0,1,0,0,0
580474773,4.921,0,1,0,0,0
580774788,4.95645,0,1,0,0,0
581074773,4.921,0,1,0,0,0
581374783,4.91133,0,1,0,0,0
581674773,4.86943,0,1,0,0,0
581984826,4.92744,0,1,0,0,0
582284790,4.94033,0,1,0,0,0
582584808,4.93066,0,1,0,0,0
582884816,4.93228,0,1,0,0,0
583184822,4.92261,0,1,0,0,0
583484838,4.95,0,1,0,0,0
583784795,4.96934,0,1,0,0,0
584084815,4.88232,0,1,0,0,0
584384818,4.87588,0,1,0,0,0
584694773,4.91938,0,1,0,0,0
584994773,4.93389,0,1,0,0,0
585294773,4.91938,0,1,0,0,0
585594774,4.921,0,1,0,0,0
585894773,4.94355,0,1,0,0,0
586194822,4.85815,0,1,0,0,0
586494775,4.91616,0,1,0,0,0
586794789,4.92422,0,1,0,0,0
587094783,4.8791,0,1,0,0,0
587394773,4.8936,0,1,0,0,0
587694786,4.91777,0,1,0,0,0
588004808,4.93711,0,1,0,0,0
588304821,4.90166,0,1,0,0,0
588604810,4.92422,0,1,0,0,0
588904820,4.90811,0,1,0,0,0
589204815,4.91294,0,1,0,0,0
589504785,4.88716,0,1,0,0,0
589804821,4.90166,0,1,0,0,0
590104795,4.90005,0,1,0,0,0
590404775,4.89199,0,1,0,0,0
590714773,4.92583,0,1,0,0,0
591014773,4.95322,0,1,0,0,0
591314773,4.97256,0,1,0,0,0
591614773,4.8936,0,1,0,0,0
591914773,4.97256,0,1,0,0,0
592214773,4.94033,0,1,0,0,0
592514778,4.85332,0,1,0,0,0
592814784,4.93711,0,1,0,0,0
593124778,4.85977,0,1,0,0,0
593424774,4.90005,0,1,0,0,0
593724817,4.90488,0,1,0,0,0
594024799,4.87427,0,1,0,0,0
594324784,4.86138,0,1,0,0,0
594624795,4.89683,0,1,0,0,0
594924773,4.88716,0,1,0,0,0
595224798,4.81787,0,1,0,0,0
595524817,4.88071,0,1,0,0,0
595834773,4.93389,0,1,0,0,0
596134778,4.92422,0,1,0,0,0
596434773,4.91294,0,1,0,0,0
596734777,4.93066,0,1,0,0,0
597034773,4.8646,0,1,0,0,0
597334773,4.87104,0,1,0,0,0
597634773,4.91294,0,1,0,0,0
597934773,4.95645,0,1,0,0,0
598234773,4.91777,0,1,0,0,0
598534779,4.95967,0,1,0,0,0
598834773,4.94033,0,1,0,0,0
599144822,4.78887,0,1,0,0,0
599444802,4.84526,0,1,0,0,0
