timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags
556396564,46.0467,0.334699,-0.0180122,0.00232227,0.00261552,-0.015235,-0.000916857,0.000285145,0.00921648,0.00167736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0151098,0.0151098,0.00157123,0.00116544,0.00116544,0.0534058,0.000101185,0.000101189,0.000106783,0.00112888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.158798,0.157781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
556596847,46.053,0.338432,-0.0328889,0.0009849,0.00141641,0.0152938,-0.000926021,0.00032001,0.00924757,0.00179956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0101144,0.0101144,0.00157081,0.00116549,0.00116549,0.0534059,0.000101183,0.000101188,0.000106782,0.00112862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.123336,0.156293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
556796971,46.0594,0.332747,-0.0181806,0.000621072,0.001566,0.0179254,-0.00091781,0.000352005,0.00922529,0.00178863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0226275,0.0226275,0.00157057,0.00116557,0.00116557,0.0534059,0.000101182,0.000101186,0.000106782,0.00112836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.200637,0.156394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
556997615,46.0692,0.334933,-0.0181504,0.000493571,0.00153131,0.0282021,-0.000921937,0.000380239,0.00923533,0.0017909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0101717,0.0101717,0.00157028,0.0011667,0.0011667,0.0534059,0.000101181,0.000101185,0.000106782,0.00112805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.123204,0.156448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
557207526,46.0803,0.334172,0.00129903,0.00182528,-0.00211533,-0.00351435,-0.000915891,0.000387358,0.00920551,0.00190311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.92127e-05,9.92127e-05,0.00199719,0.00117338,0.00117338,0.0534251,0.00010118,0.000101184,0.000106784,0.00112767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14236,0.156468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
557407895,46.0849,0.332724,0.00159128,-7.42245e-05,-0.00186661,-0.0065938,-0.000918043,0.000357663,0.00920068,0.00194978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0126267,0.0126267,0.00199705,0.00116657,0.00116657,0.0534251,0.000101178,0.000101182,0.000106784,0.00112742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.142133,0.15641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
557608322,46.0916,0.333728,-0.018568,-0.00130581,0.00437906,-0.00629492,-0.00091813,0.000412193,0.00923204,0.00197143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.93441e-05,9.93441e-05,0.00156928,0.00116579,0.00116579,0.053406,0.000101176,0.000101181,0.000106782,0.00112707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.158948,0.156468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
557808840,46.1029,0.333913,-0.0229155,-0.00167362,0.00185529,-0.0165313,-0.000932485,0.000432849,0.00923605,0.00201208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.92165e-05,9.92165e-05,0.00156899,0.00116604,0.00116604,0.053406,0.000101175,0.000101179,0.000106782,0.00112677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.142363,0.156488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
558008979,46.1074,0.333839,0.00040533,-0.000231214,0.00142486,-0.00467629,-0.000927052,0.000435543,0.00918235,0.00197328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0151069,0.0151069,0.00199611,0.00116546,0.00116546,0.0534251,0.000101174,0.000101178,0.000106784,0.00112648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15877,0.156321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
558209349,46.1197,0.336874,-0.0377953,0.00168988,-0.000101742,-0.0146711,-0.000910916,0.00045039,0.00925284,0.0020504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.93431e-05,9.93431e-05,0.00156845,0.00116566,0.00116567,0.053406,0.000101172,0.000101176,0.000106782,0.00112621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.158814,0.156444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90
