timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
556357982,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
556604905,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
556829818,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
557059764,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
557286811,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
557527345,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
557767720,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
558004195,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
558229175,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
558457672,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
558688674,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
558918633,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
559159597,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
559398595,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
559633797,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
559861281,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
560089718,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
560319678,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
560556959,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
560796563,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
561037859,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
561269352,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
561497916,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
561730867,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
561954939,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
562195076,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
562435717,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
562670097,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
562903573,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
563131867,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
563364706,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
563600167,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
563835639,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
564076302,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
564308703,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
564537080,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
564760504,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
564993924,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
565228555,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
565467861,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
565705793,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
565936976,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
566162595,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
566390592,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
566622424,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
566862820,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
567101056,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
567330750,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
567561043,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
567789819,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
568025902,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
568266500,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
568509808,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
568749256,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
568984669,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
569217186,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
569446091,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
569681089,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
569918579,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
570156537,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
570393177,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
570629064,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
570857691,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
571089962,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
571326723,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
571568199,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
571807521,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
572040192,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
572269232,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
572498665,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
572729852,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
572967654,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
573208787,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
573441868,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
573672271,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
573898719,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
574125837,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
574354564,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
574594728,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
574835631,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575069702,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575301753,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575350950,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575530570,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575757815,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
575992352,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
576232556,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
576473304,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
576704550,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
576937761,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
577169895,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
577400504,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
577635600,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
577875676,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
578114760,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
578349265,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
578579628,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
578808502,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
579039217,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
579282666,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
579523623,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
579752541,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
579982558,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
580214554,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
580442038,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
580675358,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
580911622,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
581152875,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
581381655,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
581606662,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
581840035,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
582074267,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
582315694,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
582556080,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
582792821,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
583029733,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
583257275,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
583488656,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
583724284,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
583960790,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
584199481,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
584429647,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
584651724,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
584881755,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
585118796,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
585356869,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
585591428,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
585830017,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
586060230,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
586291547,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
