timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
556398564,46.0456,0.334205,-0.00234896,0.0238515,0.0,0.0,1.0,0.0,0.0,-4.91503
556498581,46.0486,0.335662,-0.0192331,0.0238527,0.0,0.0,1.0,0.0,0.0,-4.91503
556598782,46.0525,0.336171,-0.0184704,0.0238979,0.0,0.0,1.0,0.0,0.0,-4.91503
556698660,46.056,0.33655,-0.0330733,0.0238212,0.0,0.0,1.0,0.0,0.0,-4.91503
556798885,46.0592,0.333116,-0.0193929,0.0237923,0.0,0.0,1.0,0.0,0.0,-4.91503
556909061,46.064,0.333109,-0.0188167,0.0237478,0.0,0.0,1.0,0.0,0.0,-4.91503
557009025,46.0688,0.334796,-0.018211,0.0237048,0.0,0.0,1.0,0.0,0.0,-4.91503
557110011,46.0733,0.332547,-0.0171438,0.0236756,0.0,0.0,1.0,0.0,0.0,-4.91503
557209906,46.0771,0.334569,-0.0183993,0.0236827,0.0,0.0,1.0,0.0,0.0,-4.91503
557310083,46.08,0.33413,-0.00225669,0.0237018,0.0,0.0,1.0,0.0,0.0,-4.91503
557409700,46.0846,0.332671,-0.0101116,0.0235806,0.0,0.0,1.0,0.0,0.0,-4.91503
557510651,46.0884,0.330759,-0.00208813,0.0235688,0.0,0.0,1.0,0.0,0.0,-4.91503
557610856,46.0912,0.337105,-0.0484127,0.0235358,0.0,0.0,1.0,0.0,0.0,-4.91503
557719876,46.0957,0.334384,-0.0223992,0.02353,0.0,0.0,1.0,0.0,0.0,-4.91503
557820236,46.0989,0.335093,-0.0219393,0.0235043,0.0,0.0,1.0,0.0,0.0,-4.91503
557920485,46.1025,0.332829,-0.0306662,0.0234355,0.0,0.0,1.0,0.0,0.0,-4.91503
558020324,46.1067,0.333691,-0.0345823,0.0234124,0.0,0.0,1.0,0.0,0.0,-4.91503
558120546,46.1103,0.337932,-0.0107277,0.0233902,0.0,0.0,1.0,0.0,0.0,-4.91503
558221066,46.1174,0.335067,-0.0316742,0.0233806,0.0,0.0,1.0,0.0,0.0,-4.91503
