timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
557918942,3308139,1.34055030346,26.1000003815,557918942,46.1025,0.332829,-0.0306662,0.0,0.0,0.0,0.00145154,-0.00150235,-0.0198953,-0.0198953,0.0,0.0,0.0,0.0,0.0,0.0,0.0234355,48.4307,0.0306662,0.0198953,0.173844,0.0637907,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558018972,3308139,1.34055030346,26.1000003815,558018972,46.1067,0.333691,-0.0345823,0.0,0.0,0.0,0.000114598,0.00257284,-0.0118301,-0.0118301,0.0,0.0,0.0,0.0,0.0,0.0,0.0234124,48.4307,0.0345823,0.0118301,0.18765,0.0670675,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558119400,3308139,1.34055030346,26.1000003815,558119400,46.1103,0.337932,-0.0107277,0.0,0.0,0.0,0.000790248,0.001634,-0.0105426,-0.0105426,0.0,0.0,0.0,0.0,0.0,0.0,0.0233902,48.4307,0.0107277,0.0105426,0.0728968,0.0642488,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558219343,3308139,1.34055030346,26.1000003815,558219343,46.1174,0.335067,-0.0316742,0.0,0.0,0.0,0.00104058,-0.000985048,-0.0160921,-0.0160921,0.0,0.0,0.0,0.0,0.0,0.0,0.0233846,48.4307,0.0316742,0.0160921,0.0720812,0.0637838,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558319418,3308139,1.34055030346,26.1000003815,558319418,46.122,0.340029,-0.030757,0.0,0.0,0.0,-0.000670972,-0.00138603,-0.00686584,-0.00686584,0.0,0.0,0.0,0.0,0.0,0.0,0.0233504,48.4307,0.030757,0.00686584,0.0722249,0.0428585,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558429730,3308139,1.34055030346,26.1000003815,558429730,46.1289,0.333712,-0.0395214,0.0,0.0,0.0,-0.000943442,0.000673546,-0.00779054,-0.00779054,0.0,0.0,0.0,0.0,0.0,0.0,0.0232478,48.4307,0.0395214,0.00779054,0.200782,0.065953,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558529906,3308139,1.34055030346,26.1000003815,558529906,46.1331,0.334527,-0.0269296,0.0,0.0,0.0,-0.000798822,0.00132479,-0.000831218,-0.000831218,0.0,0.0,0.0,0.0,0.0,0.0,0.0233454,48.4307,0.0269296,0.000831218,0.123319,0.0659107,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558630067,3308139,1.34055030346,26.1000003815,558630067,46.135,0.332793,-0.0260432,0.0,0.0,0.0,0.00191159,-0.00321898,-0.0077512,-0.0077512,0.0,0.0,0.0,0.0,0.0,0.0,0.0233842,48.4307,0.0260432,0.0077512,0.200711,0.065893,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558730291,3308139,1.34055030346,26.1000003815,558730291,46.1395,0.334545,-0.027917,0.0,0.0,0.0,0.000962006,-0.00011179,0.000323457,0.000323457,0.0,0.0,0.0,0.0,0.0,0.0,0.0233676,48.4307,0.027917,-0.000323457,0.200675,0.0660176,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
558830471,3308139,1.34055030346,26.1000003815,558830471,46.1417,0.33304,-0.0320184,0.0,0.0,0.0,0.000714603,0.00175859,-0.000196195,-0.000196195,0.0,0.0,0.0,0.0,0.0,0.0,0.0232913,48.4307,0.0320184,0.000196195,0.101031,0.0659071,0.0,0.0,0,1,1,1,1,0,0,0,0,1,1,1
