timestamp,time_utc_usec,lat,lon,delta_lat_lon[0],delta_lat_lon[1],alt,delta_alt,vel_n,vel_e,vel_d,pos_d_deriv,yaw,eph,epv,evh,evv,terrain_alt,pressure_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
561454983,0,1.34096614873,26.1000033824,0.0,0.0,48.4462,0.0,0.000512136,0.00140349,0.0417118,0.0417118,0.0227942,0.158813,0.0954286,0.0,0.0,48.4279,48.4753,0,0,1,0
561655305,0,1.34096619696,26.1000033945,0.0,0.0,48.4363,0.0,-0.00244762,0.00362104,0.054013,0.054013,0.0227673,0.158849,0.0953138,0.0,0.0,48.4277,48.3082,0,0,1,0
561855534,0,1.34096624412,26.1000033818,0.0,0.0,48.435,0.0,-0.0013049,0.00230388,0.0817715,0.0817715,0.0227392,0.014114,0.0828028,0.0,0.0,48.4276,48.2246,0,0,1,0
562065938,0,1.34096630522,26.1000034263,0.0,0.0,48.4458,0.0,0.00128341,-0.000231979,0.0737858,0.0737858,0.0226555,0.0718676,0.0968533,0.0,0.0,48.4276,48.8097,0,0,1,0
562266270,0,1.34096639091,26.1000033872,0.0,0.0,48.4608,0.0,-0.000639945,0.00318127,0.0833932,0.0833932,0.0225081,0.0722872,0.0954825,0.0,0.0,48.4276,48.8939,0,0,1,0
562466626,0,1.34096643956,26.1000033714,0.0,0.0,48.458,0.0,0.000447993,3.95567e-05,0.0731622,0.0731622,0.0224015,0.0722753,0.0954309,0.0,0.0,48.4276,48.3924,0,0,1,0
562666958,0,1.3409664875,26.1000033814,0.0,0.0,48.4341,0.0,-0.00157309,0.00195599,0.0572537,0.0572537,0.0223033,0.173872,0.0976389,0.0,0.0,48.4275,47.7225,0,0,1,0
562877323,0,1.340966553,26.100003367,0.0,0.0,48.4443,0.0,-0.00300216,0.00236826,0.0658827,0.0658827,0.022222,0.101051,0.107846,0.0,0.0,48.4275,48.2246,0,0,1,0
563077594,0,1.34096662272,26.1000033859,0.0,0.0,48.4294,0.0,-0.00144816,0.000211887,0.0716797,0.0716797,0.0222772,0.101025,0.109923,0.0,0.0,48.4274,48.3924,0,0,1,0
563277819,0,1.3409666832,26.1000033752,0.0,0.0,48.4443,0.0,0.000280738,0.000636749,0.0536018,0.0536018,0.022201,0.187714,0.107855,0.0,0.0,48.4274,48.2246,0,0,1,0
563478297,0,1.34096674807,26.1000033951,0.0,0.0,48.4542,0.0,0.00102917,-0.00016855,0.064712,0.064712,0.0221317,0.100987,0.107955,0.0,0.0,48.4273,48.8939,0,0,1,0
563678598,0,1.34096681483,26.1000033755,0.0,0.0,48.4527,0.0,0.00138038,0.00175658,0.0683245,0.0683245,0.0221232,0.101116,0.107894,0.0,0.0,48.4273,49.0604,0,0,1,0
563879426,0,1.34096687981,26.1000033951,0.0,0.0,48.443,0.0,0.00375161,-0.000532156,0.0593883,0.0593883,0.0220528,0.102277,0.108442,0.0,0.0,48.4273,48.3082,0,0,1,0
564089343,0,1.34096692254,26.1000033664,0.0,0.0,48.4449,0.0,0.00325731,0.0041004,0.0464802,0.0464802,0.0220566,0.200651,0.120848,0.0,0.0,48.4273,49.8976,0,0,1,0
564289702,0,1.34096700735,26.1000033777,0.0,0.0,48.4855,0.0,0.0149554,0.0057063,0.026135,0.026135,0.0234576,0.123011,0.120894,0.0,0.0,48.4275,48.9769,0,0,1,0
564489817,0,1.34096704125,26.1000034163,0.0,0.0,48.4904,0.0,0.000205935,0.0756853,0.0169851,0.0169851,0.0257078,0.212895,0.259151,0.0,0.0,48.4278,48.5589,0,0,1,0
564690456,0,1.34096713671,26.1000035684,0.0,0.0,48.5192,0.0,0.0186144,0.15217,-0.226792,-0.226792,0.0405191,0.142299,0.109992,0.0,0.0,48.4285,48.3924,0,0,1,0
564890607,0,1.34096724145,26.1000038481,0.0,0.0,48.5149,0.0,0.0745861,0.217373,-0.406182,-0.406182,0.06042,0.142236,0.109828,0.0,0.0,48.429,50.3986,0,0,1,0
565100981,0,1.34096743663,26.1000041225,0.0,0.0,48.6227,0.0,0.170225,0.264697,-0.39147,-0.39147,0.0760249,0.0140727,0.120854,0.0,0.0,48.4296,49.7298,0,0,1,0
565301324,0,1.34096762621,26.1000045325,0.0,0.0,48.7201,0.0,0.238678,0.289124,-0.373377,-0.373377,0.0900732,0.0140865,0.120848,0.0,0.0,48.4302,49.2276,0,0,1,0
565501810,0,1.34096790323,26.1000050976,0.0,0.0,48.8174,0.0,0.262916,0.309005,-0.364765,-0.364765,0.105674,0.159012,0.120864,0.0,0.0,48.4309,50.9008,0,0,1,0
565702371,0,1.34096813381,26.1000054672,0.0,0.0,48.8962,0.0,0.237804,0.257414,-0.384453,-0.384453,0.117285,0.0140867,0.121014,0.0,0.0,48.4311,51.8211,0,0,1,0
565902581,0,1.34096835312,26.1000058662,0.0,0.0,48.9613,0.0,0.175865,0.0958064,-0.337601,-0.337601,0.124671,0.0140865,0.120855,0.0,0.0,48.4317,51.5697,0,0,1,0
566102878,0,1.34096853097,26.1000062334,0.0,0.0,49.0503,0.0,0.119074,-0.0716562,-0.33988,-0.33988,0.133806,0.0140865,0.109811,0.0,0.0,48.4324,49.5626,0,0,1,0
566303360,0,1.34096869937,26.1000060295,0.0,0.0,49.1314,0.0,0.106097,-0.191996,-0.375513,-0.375513,0.13935,0.159226,0.109923,0.0,0.0,48.433,49.9812,0,0,1,0
566513753,0,1.34096883441,26.1000057448,0.0,0.0,49.2147,0.0,0.112019,-0.263939,-0.39011,-0.39011,0.14196,0.072141,0.120887,0.0,0.0,48.4336,49.8134,0,0,1,0
