timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
321571342,0.0277449,0.0270255,-9.76152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995,0.000819726,0.00173806,-0.00238209,0.0,0.0,0.0,0.0,0.000277694,0.000949675,-0.004404,0.0,0.0,0.0,0.0,0,0
321675350,0.0666919,0.0401913,-9.74168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995,0.000854291,0.00175492,-0.00237548,0.0,0.0,0.0,0.0,-0.00383391,-0.00113066,-0.00428518,0.0,0.0,0.0,0.0,0,0
321776175,0.0470325,-0.00694078,-9.77634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995,0.000881917,0.00172797,-0.00234323,0.0,0.0,0.0,0.0,-0.00608113,-0.00220975,-0.003761,0.0,0.0,0.0,0.0,0,0
321876963,-0.0077231,-0.031333,-9.68197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000899469,0.00170226,-0.00230306,0.0,0.0,0.0,0.0,-0.000369744,0.00132075,-0.00104909,0.0,0.0,0.0,0.0,0,0
321980974,0.0990438,-0.038758,-9.68691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000870636,0.00168051,-0.00232375,0.0,0.0,0.0,0.0,0.00378505,0.000872795,0.00107169,0.0,0.0,0.0,0.0,0,0
322080942,0.0212699,0.0457362,-9.73746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.00075217,0.00165021,-0.00231303,0.0,0.0,0.0,0.0,0.00474948,-0.00164033,0.000712925,0.0,0.0,0.0,0.0,0,0
322181769,0.080082,0.0207324,-9.72139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000794573,0.00163529,-0.00231699,0.0,0.0,0.0,0.0,-0.000826159,-0.00210521,-0.000590947,0.0,0.0,0.0,0.0,0,0
322286586,0.0185984,0.0237474,-9.75836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000816847,0.00163335,-0.00229733,0.0,0.0,0.0,0.0,-0.000323016,-0.0016954,0.0020852,0.0,0.0,0.0,0.0,0,0
322386543,0.0443839,-0.0197148,-9.77723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000808958,0.0016463,-0.00230182,0.0,0.0,0.0,0.0,-2.51387e-05,-0.00284547,0.000374585,0.0,0.0,0.0,0.0,0,0
322486548,0.0303808,0.033627,-9.68114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000790832,0.00164763,-0.00232032,0.0,0.0,0.0,0.0,0.00134933,-0.00253259,-0.00204662,0.0,0.0,0.0,0.0,0,0
322591368,0.0367325,0.0142837,-9.79413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000807438,0.00161606,-0.00235781,0.0,0.0,0.0,0.0,0.000570347,-0.000694345,-0.00246539,0.0,0.0,0.0,0.0,0,0
322692168,-0.05597,0.137597,-9.66634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000797843,0.00161222,-0.00232692,0.0,0.0,0.0,0.0,-0.00191873,-6.09661e-06,0.00140212,0.0,0.0,0.0,0.0,0,0
322792185,0.0375002,-0.00540767,-9.78025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000878959,0.00157891,-0.00229945,0.0,0.0,0.0,0.0,0.000414364,-0.00021667,0.00209545,0.0,0.0,0.0,0.0,0,0
322892965,0.0472218,-0.0275129,-9.73899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000818669,0.00159902,-0.00226279,0.0,0.0,0.0,0.0,0.00290875,-0.00145374,0.000332991,0.0,0.0,0.0,0.0,0,0
322996942,0.0408854,-0.00241456,-9.78977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000873568,0.00161023,-0.00224928,0.0,0.0,0.0,0.0,0.00261782,-0.0005912,-0.00263772,0.0,0.0,0.0,0.0,0,0
323097743,-0.00427432,0.0306627,-9.80971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000792834,0.00160452,-0.00227515,0.0,0.0,0.0,0.0,0.000427319,0.00159022,-0.0037178,0.0,0.0,0.0,0.0,0,0
323201748,0.111896,0.0557253,-9.72949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000782815,0.00159827,-0.00225446,0.0,0.0,0.0,0.0,-0.00544821,-0.00242327,-0.00311806,0.0,0.0,0.0,0.0,0,0
323302545,0.0214514,-0.0362038,-9.80564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000842305,0.00155206,-0.00221414,0.0,0.0,0.0,0.0,-0.00395365,0.000904258,-0.00315823,0.0,0.0,0.0,0.0,0,0
323406543,0.0534102,-0.0303326,-9.77044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000854508,0.00160251,-0.00221831,0.0,0.0,0.0,0.0,0.00237057,-0.00162181,-0.00146861,0.0,0.0,0.0,0.0,0,0
323507393,0.0396385,0.0506727,-9.73476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000785621,0.00160894,-0.00223821,0.0,0.0,0.0,0.0,0.00688107,-0.00100075,-0.00211707,0.0,0.0,0.0,0.0,0,0
323607382,0.0372518,0.0202985,-9.68455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000792204,0.00162509,-0.00218308,0.0,0.0,0.0,0.0,0.00256669,-0.00245289,-0.00308124,0.0,0.0,0.0,0.0,0,0
323708173,0.0318773,0.0272623,-9.66282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000836907,0.0016266,-0.00215879,0.0,0.0,0.0,0.0,-0.00391059,-0.000408054,-0.00413598,0.0,0.0,0.0,0.0,0,0
323812182,0.0423063,-0.0428266,-9.72604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000883925,0.00162733,-0.00212323,0.0,0.0,0.0,0.0,-0.00252897,-0.00766249,-0.00311397,0.0,0.0,0.0,0.0,0,0
323913013,0.0445996,-0.0598694,-9.73889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000810218,0.00161669,-0.00210256,0.0,0.0,0.0,0.0,-0.00185006,-0.000457577,-0.00102976,0.0,0.0,0.0,0.0,0,0
324012959,-0.00186332,-0.021974,-9.74422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000775499,0.00161449,-0.00208167,0.0,0.0,0.0,0.0,0.0046303,-0.00291006,-0.00379953,0.0,0.0,0.0,0.0,0,0
324113748,0.00744366,-0.0308219,-9.76905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000817024,0.00163433,-0.00204507,0.0,0.0,0.0,0.0,0.000980938,-0.00139666,-0.0023665,0.0,0.0,0.0,0.0,0,0
324217743,0.0141556,-0.0171309,-9.76955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000850584,0.00164208,-0.00209671,0.0,0.0,0.0,0.0,0.00144041,0.000182829,-0.00215145,0.0,0.0,0.0,0.0,0,0
324318548,0.0155188,0.0239894,-9.74146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000705858,0.00162466,-0.00212666,0.0,0.0,0.0,0.0,0.00391785,-0.00224712,-0.00127943,0.0,0.0,0.0,0.0,0,0
324422590,0.0349433,-0.00135519,-9.7539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000735783,0.00163425,-0.00208893,0.0,0.0,0.0,0.0,-0.00506764,-0.00172936,-0.00102948,0.0,0.0,0.0,0.0,0,0
324523350,0.00419187,-0.10858,-9.73024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.00085544,0.00156569,-0.00204033,0.0,0.0,0.0,0.0,-0.00212567,-0.00161387,-0.00198289,0.0,0.0,0.0,0.0,0,0
324628161,0.00579738,-0.00474952,-9.74045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000867817,0.00160119,-0.0020364,0.0,0.0,0.0,0.0,-0.00246141,-0.00141454,-0.0023801,0.0,0.0,0.0,0.0,0,0
324728177,0.0743422,-0.0880734,-9.7669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000877586,0.00162224,-0.00200397,0.0,0.0,0.0,0.0,0.00143915,-0.00146509,-0.00196204,0.0,0.0,0.0,0.0,0,0
324828177,0.0108805,-0.0384604,-9.7386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.000812282,0.00161023,-0.00200956,0.0,0.0,0.0,0.0,-0.00349505,0.00169256,-0.00162848,0.0,0.0,0.0,0.0,0,0
