timestamp,min_distance,max_distance,current_distance,covariance,type,id,orientation
321557529,0.01,120.0,0.03,0.0,0,0,8
321608628,0.01,120.0,0.07,0.0,0,0,8
321661109,0.01,120.0,0.07,0.0,0,0,8
321710654,0.01,120.0,0.07,0.0,0,0,8
321761675,0.01,120.0,0.07,0.0,0,0,8
321813107,0.01,120.0,0.07,0.0,0,0,8
321863872,0.01,120.0,0.05,0.0,0,0,8
321913868,0.01,120.0,0.05,0.0,0,0,8
321963690,0.01,120.0,0.05,0.0,0,0,8
322014642,0.01,120.0,0.05,0.0,0,0,8
322064629,0.01,120.0,0.05,0.0,0,0,8
322115010,0.01,120.0,0.05,0.0,0,0,8
322164846,0.01,120.0,0.04,0.0,0,0,8
322214704,0.01,120.0,0.04,0.0,0,0,8
322265665,0.01,120.0,0.04,0.0,0,0,8
322316660,0.01,120.0,0.04,0.0,0,0,8
322369177,0.01,120.0,0.04,0.0,0,0,8
322420229,0.01,120.0,0.01,0.0,0,0,8
322471272,0.01,120.0,0.01,0.0,0,0,8
322522652,0.01,120.0,0.01,0.0,0,0,8
322573891,0.01,120.0,0.0,0.0,0,0,8
322624616,0.01,120.0,0.0,0.0,0,0,8
322676699,0.01,120.0,0.04,0.0,0,0,8
322726688,0.01,120.0,0.04,0.0,0,0,8
322777407,0.01,120.0,0.04,0.0,0,0,8
322830086,0.01,120.0,0.04,0.0,0,0,8
322879744,0.01,120.0,0.04,0.0,0,0,8
322930034,0.01,120.0,0.04,0.0,0,0,8
322980643,0.01,120.0,0.04,0.0,0,0,8
323031692,0.01,120.0,0.04,0.0,0,0,8
323082807,0.01,120.0,0.05,0.0,0,0,8
323133659,0.01,120.0,0.05,0.0,0,0,8
323183882,0.01,120.0,0.05,0.0,0,0,8
323233662,0.01,120.0,0.05,0.0,0,0,8
323283909,0.01,120.0,0.05,0.0,0,0,8
323335243,0.01,120.0,0.07,0.0,0,0,8
323385703,0.01,120.0,0.07,0.0,0,0,8
323436647,0.01,120.0,0.07,0.0,0,0,8
323488603,0.01,120.0,0.05,0.0,0,0,8
323541689,0.01,120.0,0.05,0.0,0,0,8
323592730,0.01,120.0,0.04,0.0,0,0,8
323645122,0.01,120.0,0.04,0.0,0,0,8
323695635,0.01,120.0,0.04,0.0,0,0,8
323746713,0.01,120.0,0.03,0.0,0,0,8
323797336,0.01,120.0,0.03,0.0,0,0,8
323848638,0.01,120.0,0.03,0.0,0,0,8
323902267,0.01,120.0,0.03,0.0,0,0,8
323951693,0.01,120.0,0.02,0.0,0,0,8
324002606,0.01,120.0,0.03,0.0,0,0,8
324053709,0.01,120.0,0.03,0.0,0,0,8
324104646,0.01,120.0,0.03,0.0,0,0,8
324155001,0.01,120.0,0.03,0.0,0,0,8
324205696,0.01,120.0,0.03,0.0,0,0,8
324255896,0.01,120.0,0.06,0.0,0,0,8
324305693,0.01,120.0,0.06,0.0,0,0,8
324356223,0.01,120.0,0.06,0.0,0,0,8
324407161,0.01,120.0,0.03,0.0,0,0,8
324457034,0.01,120.0,0.06,0.0,0,0,8
324508307,0.01,120.0,0.06,0.0,0,0,8
324558894,0.01,120.0,0.06,0.0,0,0,8
324609904,0.01,120.0,0.05,0.0,0,0,8
324659960,0.01,120.0,0.05,0.0,0,0,8
324709675,0.01,120.0,0.05,0.0,0,0,8
324762888,0.01,120.0,0.05,0.0,0,0,8
324814037,0.01,120.0,0.05,0.0,0,0,8
324863941,0.01,120.0,0.05,0.0,0,0,8
324914274,0.01,120.0,0.05,0.0,0,0,8
324963749,0.01,120.0,0.04,0.0,0,0,8
325014703,0.01,120.0,0.04,0.0,0,0,8
325066643,0.01,120.0,0.04,0.0,0,0,8
325117659,0.01,120.0,0.04,0.0,0,0,8
325167823,0.01,120.0,0.06,0.0,0,0,8
325219480,0.01,120.0,0.04,0.0,0,0,8
325269664,0.01,120.0,0.04,0.0,0,0,8
325320747,0.01,120.0,0.04,0.0,0,0,8
325371183,0.01,120.0,0.04,0.0,0,0,8
325420747,0.01,120.0,0.03,0.0,0,0,8
325470638,0.01,120.0,0.03,0.0,0,0,8
325521820,0.01,120.0,0.03,0.0,0,0,8
325573883,0.01,120.0,0.02,0.0,0,0,8
325625031,0.01,120.0,0.0,0.0,0,0,8
325674639,0.01,120.0,0.0,0.0,0,0,8
325725660,0.01,120.0,0.02,0.0,0,0,8
325777464,0.01,120.0,0.02,0.0,0,0,8
325827686,0.01,120.0,0.02,0.0,0,0,8
325878645,0.01,120.0,0.0,0.0,0,0,8
325930144,0.01,120.0,0.0,0.0,0,0,8
325980692,0.01,120.0,0.0,0.0,0,0,8
326030776,0.01,120.0,0.02,0.0,0,0,8
326081649,0.01,120.0,0.02,0.0,0,0,8
326132658,0.01,120.0,0.03,0.0,0,0,8
326184677,0.01,120.0,0.03,0.0,0,0,8
326236218,0.01,120.0,0.07,0.0,0,0,8
326287674,0.01,120.0,0.07,0.0,0,0,8
326339410,0.01,120.0,0.07,0.0,0,0,8
326390636,0.01,120.0,0.06,0.0,0,0,8
326441890,0.01,120.0,0.06,0.0,0,0,8
326492268,0.01,120.0,0.06,0.0,0,0,8
326541674,0.01,120.0,0.06,0.0,0,0,8
326593099,0.01,120.0,0.05,0.0,0,0,8
326643675,0.01,120.0,0.05,0.0,0,0,8
326693792,0.01,120.0,0.05,0.0,0,0,8
326746634,0.01,120.0,0.05,0.0,0,0,8
326797097,0.01,120.0,0.05,0.0,0,0,8
326846699,0.01,120.0,0.05,0.0,0,0,8
326896696,0.01,120.0,0.03,0.0,0,0,8
326947453,0.01,120.0,0.03,0.0,0,0,8
326999082,0.01,120.0,0.03,0.0,0,0,8
327049639,0.01,120.0,0.01,0.0,0,0,8
327100643,0.01,120.0,0.01,0.0,0,0,8
327151890,0.01,120.0,0.01,0.0,0,0,8
327201694,0.01,120.0,0.01,0.0,0,0,8
327252644,0.01,120.0,0.01,0.0,0,0,8
327303841,0.01,120.0,0.05,0.0,0,0,8
327353660,0.01,120.0,0.05,0.0,0,0,8
327404627,0.01,120.0,0.04,0.0,0,0,8
327457865,0.01,120.0,0.04,0.0,0,0,8
327509071,0.01,120.0,0.04,0.0,0,0,8
327560884,0.01,120.0,0.04,0.0,0,0,8
327610759,0.01,120.0,0.04,0.0,0,0,8
327661668,0.01,120.0,0.04,0.0,0,0,8
327713353,0.01,120.0,0.04,0.0,0,0,8
327765511,0.01,120.0,0.04,0.0,0,0,8
327815692,0.01,120.0,0.05,0.0,0,0,8
327867749,0.01,120.0,0.05,0.0,0,0,8
327918843,0.01,120.0,0.05,0.0,0,0,8
327970047,0.01,120.0,0.05,0.0,0,0,8
328020655,0.01,120.0,0.05,0.0,0,0,8
328071053,0.01,120.0,0.05,0.0,0,0,8
328121666,0.01,120.0,0.05,0.0,0,0,8
328171766,0.01,120.0,0.05,0.0,0,0,8
328221671,0.01,120.0,0.05,0.0,0,0,8
328272071,0.01,120.0,0.04,0.0,0,0,8
328323459,0.01,120.0,0.04,0.0,0,0,8
328375252,0.01,120.0,0.04,0.0,0,0,8
328425047,0.01,120.0,0.04,0.0,0,0,8
328476410,0.01,120.0,0.04,0.0,0,0,8
328529684,0.01,120.0,0.03,0.0,0,0,8
328581691,0.01,120.0,0.03,0.0,0,0,8
328633417,0.01,120.0,0.03,0.0,0,0,8
328683679,0.01,120.0,0.03,0.0,0,0,8
328734802,0.01,120.0,0.03,0.0,0,0,8
328784654,0.01,120.0,0.03,0.0,0,0,8
328835932,0.01,120.0,0.02,0.0,0,0,8
328886584,0.01,120.0,0.02,0.0,0,0,8
328939929,0.01,120.0,0.02,0.0,0,0,8
328991033,0.01,120.0,0.02,0.0,0,0,8
329040712,0.01,120.0,0.02,0.0,0,0,8
329091723,0.01,120.0,0.02,0.0,0,0,8
329143136,0.01,120.0,0.02,0.0,0,0,8
329192698,0.01,120.0,0.01,0.0,0,0,8
329243693,0.01,120.0,0.02,0.0,0,0,8
329295130,0.01,120.0,0.02,0.0,0,0,8
329345877,0.01,120.0,0.03,0.0,0,0,8
329396404,0.01,120.0,0.02,0.0,0,0,8
329449980,0.01,120.0,0.02,0.0,0,0,8
329501846,0.01,120.0,0.03,0.0,0,0,8
329553695,0.01,120.0,0.03,0.0,0,0,8
329603675,0.01,120.0,0.03,0.0,0,0,8
329653680,0.01,120.0,0.03,0.0,0,0,8
329705128,0.01,120.0,0.02,0.0,0,0,8
329754642,0.01,120.0,0.01,0.0,0,0,8
329804630,0.01,120.0,0.02,0.0,0,0,8
329855734,0.01,120.0,0.02,0.0,0,0,8
329907015,0.01,120.0,0.02,0.0,0,0,8
329957666,0.01,120.0,0.02,0.0,0,0,8
330008699,0.01,120.0,0.02,0.0,0,0,8
330061255,0.01,120.0,0.05,0.0,0,0,8
330112210,0.01,120.0,0.05,0.0,0,0,8
330163457,0.01,120.0,0.06,0.0,0,0,8
330215403,0.01,120.0,0.05,0.0,0,0,8
330267497,0.01,120.0,0.05,0.0,0,0,8
330317639,0.01,120.0,0.05,0.0,0,0,8
330368474,0.01,120.0,0.06,0.0,0,0,8
330418644,0.01,120.0,0.05,0.0,0,0,8
330469666,0.01,120.0,0.05,0.0,0,0,8
330521867,0.01,120.0,0.06,0.0,0,0,8
330572872,0.01,120.0,0.05,0.0,0,0,8
330623052,0.01,120.0,0.05,0.0,0,0,8
330673708,0.01,120.0,0.06,0.0,0,0,8
330725518,0.01,120.0,0.06,0.0,0,0,8
330776633,0.01,120.0,0.06,0.0,0,0,8
330826660,0.01,120.0,0.06,0.0,0,0,8
330876642,0.01,120.0,0.06,0.0,0,0,8
330926709,0.01,120.0,0.05,0.0,0,0,8
330977667,0.01,120.0,0.06,0.0,0,0,8
331028638,0.01,120.0,0.06,0.0,0,0,8
331078973,0.01,120.0,0.04,0.0,0,0,8
331128644,0.01,120.0,0.04,0.0,0,0,8
331179736,0.01,120.0,0.06,0.0,0,0,8
331231324,0.01,120.0,0.06,0.0,0,0,8
331284076,0.01,120.0,0.04,0.0,0,0,8
331333939,0.01,120.0,0.06,0.0,0,0,8
331384671,0.01,120.0,0.04,0.0,0,0,8
