timestamp,roll,pitch,yaw,thrust
447794043,-0.00207071,0.0246468,0.00592214,0.624242
447825157,-0.0088559,0.0191893,0.00864988,0.623703
447854100,-0.00926729,0.0151947,0.0108111,0.625854
447885153,-0.0103484,0.0124075,0.0131475,0.611601
447917114,-0.0123724,0.0102474,0.0152494,0.623306
447949127,-0.0169055,0.0106973,0.0170065,0.6307
447981869,-0.0200127,0.0126533,0.0187576,0.627587
448014249,-0.0234924,0.0121105,0.0205993,0.624905
448041961,-0.0426881,0.00324019,0.0221848,0.62324
448074477,-0.0544055,-0.00588651,0.0238602,0.622401
448105943,-0.0591255,-0.0166622,0.0254382,0.628061
448137880,-0.0625312,-0.0321029,0.0270194,0.63827
448169974,-0.0566131,-0.039234,0.0283724,0.6562
448201914,-0.0472246,-0.039838,0.0294905,0.671974
448235028,-0.045408,-0.0397031,0.0303128,0.673427
448266705,-0.0512377,-0.0316977,0.0307947,0.686098
448298712,-0.0588944,-0.0176123,0.0308902,0.682157
448330711,-0.0618683,-0.00429427,0.0307629,0.675048
448362805,-0.0640077,0.0141089,0.030723,0.668475
448394886,-0.066978,0.0355928,0.0308042,0.661603
448423552,-0.0634768,0.0619572,0.0309987,0.658869
448455552,-0.0670513,0.100489,0.0315055,0.652838
448483545,-0.0744653,0.116178,0.0320728,0.650024
448515511,-0.0785653,0.142069,0.0330199,0.646275
448547484,-0.0753365,0.170451,0.0342791,0.641619
448579543,-0.06713,0.18574,0.0359908,0.638243
448612299,-0.0575508,0.187408,0.0382057,0.635776
448640379,-0.0469393,0.185445,0.0404812,0.63424
448672297,-0.0477862,0.168911,0.0428829,0.632253
448705506,-0.0561605,0.145545,0.0447082,0.629206
448736274,-0.0666391,0.0848762,0.0455928,0.628911
448768308,-0.0727988,0.0426506,0.0461664,0.629949
448801119,-0.0777032,0.0144151,0.0464265,0.63187
448829079,-0.0806284,-0.0366893,0.0462816,0.63432
448865541,-0.079101,-0.075592,0.0459872,0.638164
448897084,-0.0761479,-0.0984986,0.0458079,0.639656
448929139,-0.0725197,-0.10384,0.0455851,0.639675
448961158,-0.0660495,-0.103854,0.0450733,0.640114
448993084,-0.0592959,-0.0996319,0.044058,0.639634
449025843,-0.0479876,-0.0741986,0.0427302,0.639354
449053871,-0.0382259,-0.034893,0.0414806,0.638348
449085951,-0.0327516,-0.00468731,0.0398241,0.637286
449117896,-0.0259912,0.0287424,0.0379177,0.636569
449149973,-0.020099,0.0635582,0.0354791,0.634847
449181892,-0.0203869,0.0815655,0.0323475,0.632447
449213898,-0.0254733,0.0907546,0.0286167,0.630695
449246183,-0.025658,0.0834532,0.0243266,0.629661
449274717,-0.019255,0.0820062,0.020371,0.631187
449306690,-0.00909064,0.0858041,0.0157658,0.631825
449338779,0.000910612,0.0524687,0.0103161,0.631149
449370669,0.00824196,0.0333863,0.00523265,0.630679
449402714,0.0118315,0.0199184,-0.000494791,0.62901
449434686,0.0185813,-0.00876343,-0.00683527,0.627534
449467504,0.0203576,-0.0380022,-0.0137282,0.629651
449499590,0.0246799,-0.058281,-0.0206041,0.631265
449531520,0.040403,-0.0803239,-0.0265556,0.631803
449563494,0.0542235,-0.0987957,-0.0321068,0.631369
449595515,0.0610194,-0.111937,-0.0370153,0.632036
449627582,0.0646756,-0.115377,-0.0414826,0.634251
449655533,0.0590355,-0.109173,-0.0449501,0.63403
449688356,0.0497156,-0.099805,-0.048682,0.631739
449720302,0.035771,-0.0840124,-0.0519854,0.632309
449752342,0.0173074,-0.0652135,-0.0550015,0.631566
449784276,0.00287829,-0.0534914,-0.0580393,0.629839
449816761,-0.00459145,-0.046314,-0.0610915,0.628389
449844294,-0.0222498,-0.0385725,-0.0635332,0.627461
449876865,-0.0278748,-0.030078,-0.066178,0.626856
449909145,-0.0365596,-0.0200499,-0.069258,0.626797
449941130,-0.0457998,-0.0271605,-0.0728881,0.626796
449973079,-0.0429798,-0.0256085,-0.0766975,0.62645
450005124,-0.0380341,-0.023198,-0.0809526,0.625808
450037269,-0.0295992,-0.0701053,-0.0859843,0.625533
450065206,-0.0212495,-0.103954,-0.0907293,0.627487
450098003,-0.0153474,-0.120624,-0.0965357,0.628065
450129950,-0.00287891,-0.168457,-0.10343,0.62949
450161956,0.00537332,-0.198349,-0.109701,0.630617
450193877,0.00920858,-0.209809,-0.116215,0.631405
450225947,0.0227343,-0.198593,-0.122654,0.634224
450257876,0.0469301,-0.166758,-0.129181,0.638286
450285960,0.0498659,-0.148269,-0.135163,0.638828
450318707,0.0555606,-0.0926425,-0.142185,0.639895
450350681,0.0561853,-0.0146959,-0.149089,0.638389
450382696,0.0565689,0.0282156,-0.155244,0.636412
450414780,0.0535766,0.0577936,-0.161445,0.634575
450446688,0.0381193,0.0519869,-0.167584,0.633641
450478739,0.0314764,0.0582305,-0.173362,0.630378
450510740,0.0315624,0.0649382,-0.179454,0.63035
450543558,0.0308693,0.0696621,-0.184937,0.63019
450575542,0.0339595,0.0754672,-0.191084,0.631075
450608540,0.0339458,0.0878097,-0.202325,0.6314
450639483,0.036868,0.0976232,-0.220268,0.63181
450671485,0.0351411,0.105109,-0.228229,0.63162
450703511,0.0306086,0.10407,-0.237025,0.630898
450735481,0.0303586,0.119471,-0.254924,0.62849
450768728,0.0268788,0.12035,-0.263589,0.626315
450796281,0.0229825,0.110556,-0.26963,0.624846
450828662,0.0321633,0.0967253,-0.274574,0.620269
450860361,0.0563292,0.0852035,-0.27697,0.597061
450892348,0.0739088,0.0576763,-0.280359,0.569207
450924330,0.0903134,0.0259511,-0.285605,0.547582
450956314,0.1018,-0.0111498,-0.289943,0.543178
450989086,0.107921,-0.0457283,-0.294945,0.547944
451017072,0.0968987,-0.0647793,-0.297194,0.555544
451049139,0.0760666,-0.120465,-0.300391,0.569041
451081161,0.0554307,-0.144995,-0.302253,0.577483
451113117,0.0456712,-0.156983,-0.303743,0.585568
451145127,0.0323042,-0.157437,-0.305149,0.592345
451177880,0.0276548,-0.150032,-0.30548,0.59596
451209961,0.0263702,-0.141408,-0.304238,0.60058
451237981,0.0210839,-0.125133,-0.303907,0.60246
451269956,0.0138245,-0.105696,-0.302133,0.604246
451301959,0.00473836,-0.0883603,-0.299308,0.606132
451333876,-0.0227679,-0.090112,-0.298249,0.607091
451366671,-0.0544913,-0.0840116,-0.296528,0.606952
451399610,-0.0741192,-0.069339,-0.293485,0.606374
451430709,-0.093214,-0.0615153,-0.290844,0.606854
451462765,-0.0965298,-0.0482379,-0.287057,0.605835
451494712,-0.0930432,-0.0322369,-0.282902,0.605172
451526683,-0.0803341,-0.00644986,-0.279757,0.604394
451559725,-0.0651954,0.0223804,-0.276009,0.60283
451587501,-0.0617998,0.0353444,-0.271819,0.602744
451619889,-0.0566548,0.0426074,-0.267745,0.602996
451651488,-0.0271434,0.0951099,-0.265966,0.602651
451683561,-0.0229127,0.102675,-0.261906,0.603116
451715510,-0.0243931,0.10104,-0.257819,0.604492
451747554,-0.016098,0.108401,-0.254993,0.604883
451780198,-0.0214621,0.104837,-0.251127,0.604349
451808352,-0.0322298,0.0927773,-0.247302,0.604687
451840632,-0.038166,0.0652846,-0.242432,0.600533
451872318,-0.0453077,0.0386103,-0.238442,0.601228
451904299,-0.0520389,0.0150713,-0.23505,0.60707
451936384,-0.0634652,-0.0237046,-0.231627,0.610861
451968312,-0.0682106,-0.0564381,-0.227783,0.612522
452001114,-0.0781221,-0.0828873,-0.223402,0.615454
452029077,-0.083606,-0.108138,-0.219564,0.616813
452061096,-0.0944513,-0.139708,-0.215214,0.619219
452093080,-0.0865123,-0.14873,-0.21079,0.622191
452125096,-0.0863237,-0.151746,-0.206121,0.623933
452157156,-0.0921521,-0.153741,-0.201214,0.622842
452189084,-0.096268,-0.152675,-0.195765,0.621935
452217925,-0.0964115,-0.147788,-0.190648,0.622082
452251018,-0.0911871,-0.123541,-0.18494,0.622174
452281916,-0.0847922,-0.105061,-0.179416,0.622276
452313914,-0.0718911,-0.089291,-0.173954,0.623783
452345934,-0.047484,-0.0629457,-0.169696,0.624618
452377884,-0.0343701,-0.042257,-0.165578,0.623681
452409965,-0.0323581,-0.0234978,-0.161666,0.625603
452442762,-0.0264916,-0.00158536,-0.157906,0.624949
452474718,-0.024027,0.00809829,-0.154646,0.624209
452506751,-0.026113,0.0135885,-0.151939,0.626513
452538746,-0.0257196,0.0136431,-0.149378,0.625526
452572058,-0.0300823,0.00743787,-0.146949,0.623617
452602874,-0.0369079,-0.00205818,-0.144405,0.625512
452630728,-0.0380963,-0.0134933,-0.142324,0.625825
452662713,-0.0426064,-0.0210577,-0.140162,0.624813
452695556,-0.0440942,-0.0281587,-0.137946,0.626654
