timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
321292415,0,321292415,0,0,1,70,0,69,0,66,51,68
322676401,0,322676401,0,0,1,67,0,78,0,57,51,68
322944685,0,322944685,0,0,1,66,0,68,0,78,51,68
323811747,0,323811747,0,0,1,66,0,76,0,100,51,68
325420237,0,325420237,0,0,1,66,0,74,0,71,51,68
326345407,0,326345407,0,0,1,66,0,73,0,71,51,68
327494518,0,327494518,0,0,1,66,0,74,0,60,51,68
328409488,0,328409488,0,0,1,66,0,74,0,67,51,68
329121208,0,329121208,0,0,1,66,0,68,0,46,51,68
330026860,0,330026860,0,0,1,66,0,73,0,92,51,68
330714352,0,330714352,0,0,1,66,0,83,0,96,51,68
332120406,0,332120406,0,0,1,66,0,71,0,79,51,68
333226038,0,333226038,0,0,1,66,0,80,0,75,51,68
334381354,0,334381354,0,0,1,66,0,74,0,60,51,68
334682061,0,334682061,0,0,1,66,0,81,0,96,51,68
336682746,0,336682746,0,0,1,66,0,79,0,55,51,68
337589376,0,337589376,0,0,1,66,0,80,0,21,51,68
339202464,0,339202464,0,0,1,66,0,76,0,40,51,68
340115483,0,340115483,0,0,1,66,0,80,0,13,51,68
341261069,0,341261069,0,0,1,66,0,76,0,32,51,68
341340433,0,341340433,0,0,1,66,0,75,0,71,51,68
342176702,0,342176702,0,0,1,66,0,85,0,86,51,68
342648624,0,342648624,0,0,1,66,0,72,0,96,51,68
343791667,0,343791667,0,0,1,66,0,81,0,94,51,68
344943257,0,344943257,0,0,1,66,0,82,0,96,51,68
345621887,0,345621887,0,0,1,66,0,82,0,100,51,68
346768749,0,346768749,0,0,1,66,0,70,0,98,51,68
347687399,0,347687399,0,0,1,66,0,76,0,89,51,68
349304474,0,349304474,0,0,1,66,0,81,0,71,51,68
349984445,0,349984445,0,0,1,66,0,72,0,82,51,68
350671427,0,350671427,0,0,1,66,0,75,0,98,51,68
352518068,0,352518068,0,0,1,66,0,74,0,71,51,68
353197846,0,353197846,0,0,1,66,0,79,0,53,51,68
354595487,0,354595487,0,0,1,66,0,72,0,52,51,68
354808554,0,354808554,0,0,1,66,0,83,0,89,51,68
356420384,0,356420384,0,0,1,66,0,79,0,53,51,68
357567369,0,357567369,0,0,1,66,0,80,0,68,51,68
358046908,0,358046908,0,0,1,66,0,77,0,54,51,68
359173534,0,359173534,0,0,1,66,0,80,0,71,51,68
361236351,0,361236351,0,0,1,66,0,77,0,4,51,68
361924450,0,361924450,0,0,1,66,0,75,0,17,51,68
363537044,0,363537044,0,0,1,66,0,79,0,25,51,68
