timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
321576888,-0.0,0.0,-0.00476136,0.0,0.999997,0.0,0.0,-0.00238068,0.0,-1.0,1,0,0,0,0,0,0
321596872,-0.0,0.0,-0.00481637,0.0,0.999997,0.0,0.0,-0.00240818,0.0,-1.0,1,0,0,0,0,0,0
321637002,-0.0,0.0,-0.0046343,0.0,0.999997,0.0,0.0,-0.00231715,0.0,-1.0,1,0,0,0,0,0,0
321666739,-0.0,0.0,-0.00467788,0.0,0.999997,0.0,0.0,-0.00233894,0.0,-1.0,1,0,0,0,0,0,0
321696971,-0.0,0.0,-0.00477539,0.0,0.999997,0.0,0.0,-0.00238769,0.0,-1.0,1,0,0,0,0,0,0
321726945,-0.0,0.0,-0.00468639,0.0,0.999997,0.0,0.0,-0.00234319,0.0,-1.0,1,0,0,0,0,0,0
321757649,-0.0,0.0,-0.00461258,0.0,0.999997,0.0,0.0,-0.00230629,0.0,-1.0,1,0,0,0,0,0,0
321786899,-0.0,0.0,-0.0046957,0.0,0.999997,0.0,0.0,-0.00234785,0.0,-1.0,1,0,0,0,0,0,0
321817265,-0.0,0.0,-0.00470853,0.0,0.999997,0.0,0.0,-0.00235426,0.0,-1.0,1,0,0,0,0,0,0
321857455,-0.0,0.0,-0.00460642,0.0,0.999997,0.0,0.0,-0.00230321,0.0,-1.0,1,0,0,0,0,0,0
321887128,-0.0,0.0,-0.00460183,0.0,0.999997,0.0,0.0,-0.00230091,0.0,-1.0,1,0,0,0,0,0,0
321917442,-0.0,0.0,-0.00462419,0.0,0.999997,0.0,0.0,-0.00231209,0.0,-1.0,1,0,0,0,0,0,0
321947025,-0.0,0.0,-0.0046394,0.0,0.999997,0.0,0.0,-0.0023197,0.0,-1.0,1,0,0,0,0,0,0
321977487,-0.0,0.0,-0.00464563,0.0,0.999997,0.0,0.0,-0.00232281,0.0,-1.0,1,0,0,0,0,0,0
322017548,-0.0,0.0,-0.00465245,0.0,0.999997,0.0,0.0,-0.00232622,0.0,-1.0,1,0,0,0,0,0,0
322047490,-0.0,0.0,-0.00464312,0.0,0.999997,0.0,0.0,-0.00232156,0.0,-1.0,1,0,0,0,0,0,0
322077472,-0.0,0.0,-0.00462323,0.0,0.999997,0.0,0.0,-0.00231161,0.0,-1.0,1,0,0,0,0,0,0
322108491,-0.0,0.0,-0.00460437,0.0,0.999997,0.0,0.0,-0.00230218,0.0,-1.0,1,0,0,0,0,0,0
322137521,-0.0,0.0,-0.00462185,0.0,0.999997,0.0,0.0,-0.00231092,0.0,-1.0,1,0,0,0,0,0,0
322167728,-0.0,0.0,-0.00464204,0.0,0.999997,0.0,0.0,-0.00232102,0.0,-1.0,1,0,0,0,0,0,0
322207916,-0.0,0.0,-0.00460951,0.0,0.999997,0.0,0.0,-0.00230475,0.0,-1.0,1,0,0,0,0,0,0
322237951,-0.0,0.0,-0.00462043,0.0,0.999997,0.0,0.0,-0.00231021,0.0,-1.0,1,0,0,0,0,0,0
322267834,-0.0,0.0,-0.00462738,0.0,0.999997,0.0,0.0,-0.00231369,0.0,-1.0,1,0,0,0,0,0,0
322298198,-0.0,0.0,-0.0045736,0.0,0.999997,0.0,0.0,-0.0022868,0.0,-1.0,1,0,0,0,0,0,0
322327966,-0.0,0.0,-0.00452062,0.0,0.999997,0.0,0.0,-0.00226031,0.0,-1.0,1,0,0,0,0,0,0
322358251,-0.0,0.0,-0.00454871,0.0,0.999997,0.0,0.0,-0.00227435,0.0,-1.0,1,0,0,0,0,0,0
322387969,-0.0,0.0,-0.00460542,0.0,0.999997,0.0,0.0,-0.00230271,0.0,-1.0,1,0,0,0,0,0,0
322428274,-0.0,0.0,-0.00453469,0.0,0.999997,0.0,0.0,-0.00226734,0.0,-1.0,1,0,0,0,0,0,0
322458702,-0.0,0.0,-0.00454812,0.0,0.999997,0.0,0.0,-0.00227406,0.0,-1.0,1,0,0,0,0,0,0
322488482,-0.0,0.0,-0.00463805,0.0,0.999997,0.0,0.0,-0.00231902,0.0,-1.0,1,0,0,0,0,0,0
322518140,-0.0,0.0,-0.00453888,0.0,0.999997,0.0,0.0,-0.00226944,0.0,-1.0,1,0,0,0,0,0,0
322548670,-0.0,0.0,-0.00444147,0.0,0.999998,0.0,0.0,-0.00222073,0.0,-1.0,1,0,0,0,0,0,0
322578713,-0.0,0.0,-0.00463056,0.0,0.999997,0.0,0.0,-0.00231528,0.0,-1.0,1,0,0,0,0,0,0
322609644,-0.0,0.0,-0.00468523,0.0,0.999997,0.0,0.0,-0.00234261,0.0,-1.0,1,0,0,0,0,0,0
322648672,-0.0,0.0,-0.00448015,0.0,0.999997,0.0,0.0,-0.00224007,0.0,-1.0,1,0,0,0,0,0,0
322678830,-0.0,0.0,-0.00463681,0.0,0.999997,0.0,0.0,-0.0023184,0.0,-1.0,1,0,0,0,0,0,0
322709929,-0.0,0.0,-0.00459747,0.0,0.999997,0.0,0.0,-0.00229873,0.0,-1.0,1,0,0,0,0,0,0
322739071,-0.0,0.0,-0.00441562,0.0,0.999998,0.0,0.0,-0.00220781,0.0,-1.0,1,0,0,0,0,0,0
322769013,-0.0,0.0,-0.00453045,0.0,0.999997,0.0,0.0,-0.00226522,0.0,-1.0,1,0,0,0,0,0,0
322809416,-0.0,0.0,-0.00451984,0.0,0.999997,0.0,0.0,-0.00225992,0.0,-1.0,1,0,0,0,0,0,0
322839448,-0.0,0.0,-0.00438147,0.0,0.999998,0.0,0.0,-0.00219073,0.0,-1.0,1,0,0,0,0,0,0
322868734,-0.0,0.0,-0.0045004,0.0,0.999997,0.0,0.0,-0.0022502,0.0,-1.0,1,0,0,0,0,0,0
