timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.16601,0.0130397
0,0.163431,0.0136795
0,0.157869,0.0141556
0,0.129554,0.0122753
0,0.201594,0.0116061
0,0.173858,0.0122834
0,0.112509,0.0124781
0,0.118395,0.0127163
0,0.112412,0.0123378
0,0.100721,0.0126667
0,0.0930655,0.0123129
0,0.10845,0.0121746
0,0.0827748,0.0126024
0,0.140997,0.0119539
0,0.107267,0.0125858
0,0.0974308,0.0127721
0,0.0900123,0.0126691
0,0.0933472,0.012327
0,0.0899286,0.0125804
0,0.0910308,0.0121077
0,0.0809086,0.0121149
