timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags
1043304142,-35.5392,-0.642576,1.08604,0.00894649,0.0263666,-0.0419268,-0.0042008,0.000649289,0.00271352,1.08508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0126575,0.0126575,0.0114899,0.00157279,0.00157279,0.0539154,0.000100877,0.000100903,0.000106818,0.000564842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.142456,0.0946504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1043504224,-35.5391,-0.672259,1.08695,0.00360244,0.0125763,-0.0379266,-0.00421812,0.00088069,0.00269706,1.08588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.96012e-05,9.96012e-05,0.0114944,0.00157177,0.00157177,0.0539129,0.000100877,0.000100903,0.000106818,0.000564624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.212668,0.0947427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1043704547,-35.5404,-0.681404,1.08724,0.00282358,0.0164997,-0.0484401,-0.00420815,0.00101851,0.00268029,1.08686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0126125,0.0126125,0.0115186,0.00157326,0.00157326,0.0539114,0.000100877,0.000100903,0.000106818,0.000564371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14222,0.0948632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1043904929,-35.5416,-0.681781,1.08823,0.00058045,-0.00926282,-0.0567416,-0.00414528,0.0011689,0.00265814,1.08801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.96049e-05,9.96049e-05,0.0115298,0.0015737,0.0015737,0.0539096,0.000100877,0.000100903,0.000106818,0.000564084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.212771,0.0946959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1044115015,-35.5426,-0.682529,1.08926,-0.00138435,0.00403461,-0.0585945,-0.00417989,0.000977756,0.00263356,1.08889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00258686,0.00258686,0.0114878,0.00159998,0.00159998,0.0539054,0.00010088,0.000100905,0.000106818,0.000563807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014114,0.0947598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1044315414,-35.5439,-0.684878,1.09006,-0.00184785,-0.0223602,-0.0526849,-0.00423172,0.000949738,0.00260999,1.0898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00260411,0.00260411,0.0115055,0.00157461,0.00157461,0.0539042,0.000100877,0.000100902,0.000106817,0.000563591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014114,0.0946836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1044515848,-35.5446,-0.689265,1.09187,0.00442467,0.00335465,-0.0490916,-0.00419073,0.000783984,0.00259288,1.09097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00260236,0.00260236,0.0115158,0.00157337,0.00157337,0.0539029,0.000100877,0.000100902,0.000106817,0.00056334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014114,0.0947473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1044716223,-35.5456,-0.699908,1.09422,-0.00469142,0.00102625,-0.0361343,-0.00422495,0.000692668,0.00257489,1.09206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00260074,0.00260074,0.0114911,0.00157245,0.00157245,0.0539001,0.000100877,0.000100902,0.000106817,0.000563125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0141233,0.0947038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1044916556,-35.5473,-0.707352,1.14737,-0.0373081,-0.0357467,-0.0362497,-0.00422333,0.000692091,0.00243792,1.09313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00257038,0.00257038,0.0624358,0.00360976,0.00360976,0.0560994,0.000101077,0.000101102,0.000107009,0.000562926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0141142,0.244378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
1045127040,-35.555,-0.720315,1.32443,-0.0673818,-0.0498741,0.143345,-0.00422051,0.000690749,0.00213954,1.09401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00513356,0.00513356,0.109714,0.00574798,0.00574799,0.0579772,0.000101286,0.000101311,0.000107173,0.000562751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0722723,0.32879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94
