timestamp,min_distance,max_distance,current_distance,covariance,type,id,orientation
1043288191,0.01,120.0,0.0,0.0,0,0,8
1043338465,0.01,120.0,0.12,0.0,0,0,8
1043388748,0.01,120.0,0.0,0.0,0,0,8
1043438777,0.01,120.0,0.0,0.0,0,0,8
1043489892,0.01,120.0,0.0,0.0,0,0,8
1043540634,0.01,120.0,0.0,0.0,0,0,8
1043591641,0.01,120.0,0.0,0.0,0,0,8
1043642784,0.01,120.0,0.17,0.0,0,0,8
1043693453,0.01,120.0,0.0,0.0,0,0,8
1043746855,0.01,120.0,0.0,0.0,0,0,8
1043798194,0.01,120.0,0.06,0.0,0,0,8
1043847715,0.01,120.0,0.0,0.0,0,0,8
1043898652,0.01,120.0,0.0,0.0,0,0,8
1043949932,0.01,120.0,0.0,0.0,0,0,8
1043999637,0.01,120.0,0.0,0.0,0,0,8
1044050843,0.01,120.0,0.0,0.0,0,0,8
1044100667,0.01,120.0,0.0,0.0,0,0,8
1044151637,0.01,120.0,0.06,0.0,0,0,8
1044202840,0.01,120.0,0.03,0.0,0,0,8
1044252797,0.01,120.0,0.08,0.0,0,0,8
1044303650,0.01,120.0,0.08,0.0,0,0,8
1044353819,0.01,120.0,0.03,0.0,0,0,8
1044403845,0.01,120.0,0.03,0.0,0,0,8
1044453828,0.01,120.0,0.0,0.0,0,0,8
1044503645,0.01,120.0,0.13,0.0,0,0,8
1044555276,0.01,120.0,0.0,0.0,0,0,8
1044605674,0.01,120.0,0.05,0.0,0,0,8
1044658070,0.01,120.0,0.0,0.0,0,0,8
1044709276,0.01,120.0,0.0,0.0,0,0,8
1044759812,0.01,120.0,0.0,0.0,0,0,8
1044811336,0.01,120.0,0.0,0.0,0,0,8
1044861995,0.01,120.0,0.0,0.0,0,0,8
1044911665,0.01,120.0,0.0,0.0,0,0,8
1044961663,0.01,120.0,0.0,0.0,0,0,8
1045012530,0.01,120.0,0.0,0.0,0,0,8
1045063711,0.01,120.0,0.09,0.0,0,0,8
1045115278,0.01,120.0,0.02,0.0,0,0,8
1045165682,0.01,120.0,0.02,0.0,0,0,8
1045216664,0.01,120.0,0.02,0.0,0,0,8
1045268565,0.01,120.0,0.02,0.0,0,0,8
1045320301,0.01,120.0,0.02,0.0,0,0,8
1045369803,0.01,120.0,0.05,0.0,0,0,8
1045419791,0.01,120.0,0.21,0.0,0,0,8
1045470516,0.01,120.0,0.03,0.0,0,0,8
1045521676,0.01,120.0,0.11,0.0,0,0,8
1045573434,0.01,120.0,0.04,0.0,0,0,8
1045625235,0.01,120.0,0.25,0.0,0,0,8
1045674798,0.01,120.0,0.22,0.0,0,0,8
1045724981,0.01,120.0,0.22,0.0,0,0,8
1045775724,0.01,120.0,0.27,0.0,0,0,8
1045825684,0.01,120.0,0.31,0.0,0,0,8
1045875642,0.01,120.0,0.31,0.0,0,0,8
1045926187,0.01,120.0,0.37,0.0,0,0,8
1045977671,0.01,120.0,0.33,0.0,0,0,8
1046030615,0.01,120.0,0.33,0.0,0,0,8
1046081872,0.01,120.0,0.36,0.0,0,0,8
1046133279,0.01,120.0,0.4,0.0,0,0,8
1046183629,0.01,120.0,0.4,0.0,0,0,8
1046233857,0.01,120.0,0.4,0.0,0,0,8
1046283631,0.01,120.0,0.4,0.0,0,0,8
1046334651,0.01,120.0,0.44,0.0,0,0,8
1046384629,0.01,120.0,0.44,0.0,0,0,8
1046434679,0.01,120.0,0.48,0.0,0,0,8
1046484632,0.01,120.0,0.48,0.0,0,0,8
1046535674,0.01,120.0,0.48,0.0,0,0,8
1046586690,0.01,120.0,0.52,0.0,0,0,8
1046636762,0.01,120.0,0.55,0.0,0,0,8
1046687059,0.01,120.0,0.55,0.0,0,0,8
1046736658,0.01,120.0,0.6,0.0,0,0,8
1046787649,0.01,120.0,0.6,0.0,0,0,8
1046838718,0.01,120.0,0.63,0.0,0,0,8
1046888629,0.01,120.0,0.63,0.0,0,0,8
1046940944,0.01,120.0,0.63,0.0,0,0,8
1046992441,0.01,120.0,0.63,0.0,0,0,8
1047043002,0.01,120.0,0.63,0.0,0,0,8
1047094360,0.01,120.0,0.63,0.0,0,0,8
1047144652,0.01,120.0,0.63,0.0,0,0,8
1047195650,0.01,120.0,0.64,0.0,0,0,8
1047246855,0.01,120.0,0.64,0.0,0,0,8
1047298142,0.01,120.0,0.64,0.0,0,0,8
1047348364,0.01,120.0,0.64,0.0,0,0,8
1047401423,0.01,120.0,0.64,0.0,0,0,8
1047453003,0.01,120.0,0.64,0.0,0,0,8
1047504362,0.01,120.0,0.64,0.0,0,0,8
1047554701,0.01,120.0,0.64,0.0,0,0,8
1047605873,0.01,120.0,0.64,0.0,0,0,8
1047656858,0.01,120.0,0.64,0.0,0,0,8
1047708446,0.01,120.0,0.64,0.0,0,0,8
1047760518,0.01,120.0,0.64,0.0,0,0,8
1047813770,0.01,120.0,0.63,0.0,0,0,8
1047865019,0.01,120.0,0.64,0.0,0,0,8
1047916548,0.01,120.0,0.64,0.0,0,0,8
1047968184,0.01,120.0,0.64,0.0,0,0,8
1048018727,0.01,120.0,0.64,0.0,0,0,8
1048068909,0.01,120.0,0.64,0.0,0,0,8
1048118667,0.01,120.0,0.67,0.0,0,0,8
1048169771,0.01,120.0,0.64,0.0,0,0,8
1048220258,0.01,120.0,0.64,0.0,0,0,8
1048270182,0.01,120.0,0.64,0.0,0,0,8
1048320629,0.01,120.0,0.64,0.0,0,0,8
1048371659,0.01,120.0,0.64,0.0,0,0,8
1048423757,0.01,120.0,0.64,0.0,0,0,8
1048474748,0.01,120.0,0.64,0.0,0,0,8
1048524652,0.01,120.0,0.64,0.0,0,0,8
1048574667,0.01,120.0,0.64,0.0,0,0,8
1048625788,0.01,120.0,0.64,0.0,0,0,8
1048677851,0.01,120.0,0.65,0.0,0,0,8
1048728629,0.01,120.0,0.65,0.0,0,0,8
1048779643,0.01,120.0,0.65,0.0,0,0,8
1048830224,0.01,120.0,0.68,0.0,0,0,8
1048879807,0.01,120.0,0.68,0.0,0,0,8
1048929845,0.01,120.0,0.68,0.0,0,0,8
1048980646,0.01,120.0,0.68,0.0,0,0,8
1049031629,0.01,120.0,0.69,0.0,0,0,8
1049082193,0.01,120.0,0.69,0.0,0,0,8
1049131805,0.01,120.0,0.69,0.0,0,0,8
1049182778,0.01,120.0,0.69,0.0,0,0,8
1049235781,0.01,120.0,0.69,0.0,0,0,8
1049287353,0.01,120.0,0.69,0.0,0,0,8
1049337662,0.01,120.0,0.69,0.0,0,0,8
1049387675,0.01,120.0,0.69,0.0,0,0,8
1049437686,0.01,120.0,0.69,0.0,0,0,8
1049487652,0.01,120.0,0.69,0.0,0,0,8
1049539374,0.01,120.0,0.63,0.0,0,0,8
1049591087,0.01,120.0,1.35,0.0,0,0,8
1049640864,0.01,120.0,0.91,0.0,0,0,8
1049691307,0.01,120.0,1.23,0.0,0,0,8
1049741724,0.01,120.0,1.23,0.0,0,0,8
1049791663,0.01,120.0,1.16,0.0,0,0,8
1049841670,0.01,120.0,1.16,0.0,0,0,8
1049891731,0.01,120.0,1.21,0.0,0,0,8
1049943435,0.01,120.0,1.15,0.0,0,0,8
1049996888,0.01,120.0,1.41,0.0,0,0,8
1050047737,0.01,120.0,1.07,0.0,0,0,8
1050099469,0.01,120.0,0.8,0.0,0,0,8
1050149690,0.01,120.0,1.17,0.0,0,0,8
1050201250,0.01,120.0,1.22,0.0,0,0,8
1050251724,0.01,120.0,1.47,0.0,0,0,8
1050301837,0.01,120.0,0.95,0.0,0,0,8
1050353173,0.01,120.0,1.31,0.0,0,0,8
1050402817,0.01,120.0,1.6,0.0,0,0,8
1050453675,0.01,120.0,1.09,0.0,0,0,8
1050506842,0.01,120.0,1.19,0.0,0,0,8
1050558236,0.01,120.0,1.19,0.0,0,0,8
1050608943,0.01,120.0,1.16,0.0,0,0,8
1050659661,0.01,120.0,1.23,0.0,0,0,8
1050709663,0.01,120.0,1.19,0.0,0,0,8
1050761128,0.01,120.0,1.19,0.0,0,0,8
1050810667,0.01,120.0,0.94,0.0,0,0,8
1050861348,0.01,120.0,0.94,0.0,0,0,8
1050911651,0.01,120.0,1.28,0.0,0,0,8
1050961748,0.01,120.0,1.37,0.0,0,0,8
1051013099,0.01,120.0,1.27,0.0,0,0,8
1051063854,0.01,120.0,1.19,0.0,0,0,8
1051114237,0.01,120.0,1.23,0.0,0,0,8
1051163660,0.01,120.0,1.11,0.0,0,0,8
1051214680,0.01,120.0,1.34,0.0,0,0,8
