timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
1043085906,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1043389592,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1043616654,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1043842779,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1044070902,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1044298240,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1044539805,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1044780932,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1045020668,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1045260308,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1045495639,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1045730751,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1045959827,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1046186762,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1046422903,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1046654928,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1046895244,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1047134693,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1047368644,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1047606220,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1047842866,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1048074066,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1048307865,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1048539517,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1048768745,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1049000545,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1049231564,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1049471764,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1049711451,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1049951610,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1050189541,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1050419823,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1050650780,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1050878760,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1051107693,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1051343057,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1051582944,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
