timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
1061372475,21.3476,21.3625,11.861,11.7142,52.9322,0.686712,1.09177,6,1,0
1061672465,21.1713,21.3471,12.8471,11.845,53.9338,0.684912,1.09234,6,1,0
1061972561,21.328,21.3487,11.7103,11.7636,54.908,0.685233,1.09224,6,1,0
1062266052,21.1909,21.3365,12.8608,11.8875,55.8891,0.683593,1.09276,6,1,0
1062578168,21.377,21.3262,11.6692,11.9604,56.939,0.682331,1.09317,6,1,0
1062878140,21.3084,21.3328,11.4912,11.8039,57.9038,0.68307,1.09293,6,1,0
1063168173,21.2986,21.3351,11.8336,11.753,58.8419,0.683066,1.09293,6,1,0
1063472083,21.4063,21.3338,11.5323,11.7487,59.8336,0.682753,1.09303,6,1,0
1063771594,21.4161,21.3369,11.4638,11.6858,60.7951,0.683043,1.09294,6,1,0
1064080073,21.2105,21.3179,11.9295,11.8885,61.8349,0.680636,1.09371,6,1,0
1064381460,21.2203,21.3199,12.1212,11.7591,62.7993,0.680955,1.09361,6,1,0
1064681285,21.4553,21.3026,10.9844,11.9868,63.832,0.679167,1.09418,6,1,0
1064985763,21.563,21.321,10.3818,11.7147,64.7865,0.681527,1.09343,6,1,0
1065286793,21.4945,21.353,10.1353,11.3173,65.6869,0.685314,1.09221,6,1,0
1065586875,21.4749,21.4068,10.1216,10.6692,66.5021,0.69139,1.09027,6,1,0
1065886850,20.9265,21.3904,14.0798,10.9721,67.444,0.688505,1.09119,6,1,0
1066188446,21.0538,21.3285,13.6278,11.9007,68.5552,0.681252,1.09352,6,1,0
1066488483,21.2692,21.3239,12.2034,11.891,69.5469,0.681172,1.09354,6,1,0
1066788412,21.4455,21.3297,10.6831,11.7396,70.5105,0.681921,1.0933,6,1,0
1067090080,21.3182,21.3155,11.6008,11.8142,71.5082,0.680048,1.0939,6,1,0
1067390111,21.2301,21.3124,11.6555,11.71,72.4705,0.679559,1.09406,6,1,0
1067690143,21.2007,21.3098,12.2171,11.6542,73.4335,0.679171,1.09418,6,1,0
1067991678,21.2203,21.3113,11.7788,11.5722,74.395,0.679366,1.09412,6,1,0
1068291611,21.2399,21.3204,11.8473,11.3878,75.3243,0.680232,1.09384,6,1,0
1068591686,21.2986,21.3087,11.4364,11.5327,76.3091,0.678578,1.09437,6,1,0
1068891664,21.279,21.2783,12.1486,11.8957,77.3433,0.674645,1.09564,6,1,0
1069201395,21.2497,21.2613,11.8473,12.009,78.3926,0.672544,1.09632,6,1,0
1069501252,21.2399,21.2619,12.2171,11.9018,79.3682,0.672531,1.09632,6,1,0
1069801401,21.7295,21.349,8.16299,10.7239,80.134,0.682953,1.09297,6,1,0
