timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1043305388,-35.5395,-0.643562,-0.000368302,-0.0261587,0.0,0.0,1.0,0.0,0.0,0.0
1043405669,-35.5388,-0.642205,0.000298643,-0.0273814,0.0,0.0,1.0,0.0,0.0,0.0
1043506058,-35.5408,-0.662727,0.000962167,-0.0279496,0.0,0.0,1.0,0.0,0.0,0.0
1043605942,-35.5391,-0.670599,0.00103445,-0.0286078,0.0,0.0,1.0,0.0,0.0,0.0
1043706036,-35.5406,-0.678102,0.00108858,-0.0287486,0.0,0.0,1.0,0.0,0.0,0.0
1043816199,-35.5405,-0.681438,0.00118087,-0.0290993,0.0,0.0,0.876061,0.0,0.0,0.0
1043916245,-35.5408,-0.682652,0.000567838,-0.0295315,0.0,0.0,0.601791,0.0,0.0,0.0
1044016938,-35.5416,-0.683337,-0.000150401,-0.0299685,0.0,0.0,0.411514,0.0,0.0,0.0
1044116350,-35.5421,-0.686498,0.000230932,-0.030386,0.0,0.0,0.312767,0.0,0.0,0.0
1044216292,-35.5426,-0.683183,-0.00022203,-0.0306322,0.0,0.0,0.164138,0.0,0.0,0.0
1044317017,-35.5426,-0.684354,0.000704327,-0.031156,0.0,0.0,0.00840508,0.0,0.0,0.0
1044417565,-35.5437,-0.687603,0.00165192,-0.0318831,0.0,0.0,0.00840508,0.0,0.0,0.0
1044527358,-35.5439,-0.692312,0.00127916,-0.032985,0.0,0.0,-0.244589,0.0,0.0,0.0
1044627687,-35.5447,-0.696008,0.0014165,-0.0336575,0.0,0.0,-0.306139,0.0,0.0,0.0
1044727704,-35.5451,-0.698272,0.00163214,-0.0341868,0.0,0.0,-0.448081,0.0,0.0,0.0
1044827767,-35.5457,-0.700449,0.01647,-0.0342496,0.0,0.0,0.454934,0.0,0.0,-3.87487
1044927968,-35.5472,-0.704354,0.0447371,-0.0342496,0.0,0.0,0.30458,0.0,0.0,-4.1404
1045027984,-35.5516,-0.712151,0.101475,-0.0342496,0.0,0.0,0.131793,0.0,0.0,-4.80085
1045128423,-35.5552,-0.71974,0.189946,-0.0342496,0.0,0.0,-0.0447894,0.0,0.0,-5.2172
1045228382,-35.5599,-0.721898,0.288054,-0.0342496,-0.0125814,-0.00397206,-0.234132,0.0,0.0,-5.66684
1045339280,-35.5682,-0.726743,0.375616,-0.0342496,-0.0483693,-0.01478,-0.462238,0.0,0.0,-5.93368
1045438695,-35.577,-0.732809,0.386432,-0.0342496,-0.0963102,-0.030449,-0.675727,0.0,0.0,-6.17291
1045538929,-35.5878,-0.737017,0.241267,-0.0342496,-0.144248,-0.0531749,-0.862604,0.0,0.0,-6.20298
1045638854,-35.5986,-0.738471,0.0483397,-0.0342496,-0.146094,-0.060014,-0.850807,0.0,0.0,-5.90224
1045738973,-35.6081,-0.744884,-0.119127,-0.0342496,-0.113608,-0.058372,-0.656428,0.0,0.0,-5.46913
1045849419,-35.6223,-0.767152,-0.177259,-0.0342496,-0.0901546,-0.0722919,-0.354184,0.0,0.0,-5.02599
1045949576,-35.6234,-0.772375,-0.254928,-0.0342496,-0.0328803,-0.0405206,-0.486902,0.0,0.0,-5.53933
1046049299,-35.6253,-0.767362,-0.29013,-0.0342496,-0.00124306,-0.0127171,-0.414475,0.0,0.0,-5.55632
1046149839,-35.6224,-0.773598,-0.305622,-0.0342496,0.0,0.0,-0.848048,0.0,0.0,-6.58354
1046250044,-35.6225,-0.778924,-0.377508,-0.0342496,0.0,0.0,-1.03219,0.0,0.0,-6.83962
1046350151,-35.6221,-0.792453,-0.419895,-0.0342496,0.0,0.0,-0.980388,0.0,0.0,-6.52337
1046450584,-35.6235,-0.798234,-0.457387,-0.03369,0.0,0.0,-0.649283,0.0,0.0,-5.70501
1046560402,-35.6276,-0.800094,-0.486792,-0.0337166,-0.00145451,0.000605175,-0.501118,0.0,0.0,-5.53649
1046660305,-35.6307,-0.800511,-0.484623,-0.0333047,-0.0298312,0.014629,-0.139049,0.0,0.0,-5.04944
1046760577,-35.6357,-0.799314,-0.522022,-0.0324251,-0.0650274,0.0495984,-0.292735,0.0,0.0,-5.6484
1046860993,-35.6392,-0.795477,-0.575949,-0.0324314,-0.061125,0.0423333,-0.49232,0.0,0.0,-6.18708
1046960572,-35.6431,-0.79302,-0.607085,-0.0324319,-0.0532111,0.0292242,-0.369959,0.0,0.0,-5.8885
1047061292,-35.6513,-0.790584,-0.618565,-0.0313602,-0.0392167,0.0208141,-0.298348,0.0,0.0,-5.70545
1047161815,-35.6557,-0.778822,-0.623112,-0.0295585,-0.0189363,0.0106703,-0.155983,0.0,0.0,-5.4775
1047271404,-35.6583,-0.779944,-0.616116,-0.0237513,0.0,0.0,-0.16454,0.0,0.0,-5.68213
1047372206,-35.6578,-0.783258,-0.61184,-0.0182876,0.0,0.0,-0.188456,0.0,0.0,-5.92149
1047472082,-35.658,-0.772662,-0.60659,-0.0104415,0.0,0.0,-0.234193,0.0,0.0,-6.05945
1047571847,-35.6534,-0.773139,-0.613144,-0.0082555,0.0,0.0,-0.579946,0.0,0.0,-6.70513
1047672494,-35.6529,-0.772332,-0.620228,-0.00562091,0.0,0.0,-0.573392,0.0,0.0,-6.51102
1047782640,-35.6462,-0.776799,-0.620783,-0.000976108,0.0189999,0.00630782,-0.456119,0.0,0.0,-6.034
1047882826,-35.6409,-0.763766,-0.625699,0.00491975,0.0606637,0.0284781,-0.460107,0.0,0.0,-5.96812
1047982934,-35.6341,-0.756676,-0.639123,0.0127956,0.0844349,0.0519102,-0.134945,0.0,0.0,-5.34723
1048083435,-35.6274,-0.754096,-0.636077,0.0243068,0.0986724,0.0685259,-0.347429,0.0,0.0,-5.87716
1048183418,-35.62,-0.749467,-0.620392,0.0314253,0.0902459,0.0629436,-0.394453,0.0,0.0,-6.22029
1048283495,-35.6147,-0.748644,-0.620068,0.0372064,0.0837848,0.058364,-0.39158,0.0,0.0,-6.22751
1048383668,-35.6114,-0.744345,-0.631815,0.0412758,0.0711754,0.0523478,-0.390466,0.0,0.0,-6.14798
1048483555,-35.6057,-0.735282,-0.624848,0.0421653,0.0727092,0.0681168,-0.394244,0.0,0.0,-6.12835
1048593741,-35.6012,-0.719818,-0.634169,0.0427634,0.0721629,0.0747366,-0.400711,0.0,0.0,-6.09358
1048693764,-35.5955,-0.710172,-0.634142,0.0427535,0.073546,0.0695618,-0.394301,0.0,0.0,-6.03945
1048793853,-35.5898,-0.702965,-0.64365,0.0427532,0.0971781,0.0680683,-0.392655,0.0,0.0,-6.02108
1048894106,-35.5806,-0.692766,-0.651636,0.0427532,0.120791,0.072037,-0.394682,0.0,0.0,-6.00661
1048994143,-35.5755,-0.683834,-0.673291,0.0425669,0.148101,0.0777717,-0.261176,0.0,0.0,-5.76585
1049094061,-35.5533,-0.668395,-0.672614,0.0425448,0.16918,0.0881489,-0.372738,0.0,0.0,-6.05834
1049194179,-35.5565,-0.656068,-0.682625,0.0425442,0.189312,0.104588,-0.359803,0.0,0.0,-6.04976
1049304480,-35.5359,-0.640694,-0.681164,0.04229,0.193862,0.113799,-0.366514,0.0,0.0,-6.12352
1049404617,-35.5357,-0.625989,-0.678567,0.0395666,0.192586,0.126265,-0.37103,0.0,0.0,-6.03873
1049504894,-35.5263,-0.608918,-0.684815,0.0354558,0.191,0.123495,-0.363497,0.0,0.0,-5.98373
1049604906,-35.5233,-0.591665,-0.663766,0.034929,0.165709,0.0998322,-0.358067,0.0,0.0,-6.02926
1049704614,-35.5233,-0.572068,-0.72631,0.0349335,0.143834,0.0612924,-0.347883,0.0,0.0,-6.00974
1049805233,-35.5048,-0.564541,-0.967996,0.0349335,0.096828,0.023071,-0.35467,0.0,0.0,-5.94606
1049905693,-35.511,-0.561686,-1.13904,0.0349335,0.0822099,-0.00974648,-0.353411,0.0,0.0,-5.87379
1050015066,-35.5027,-0.557417,-1.15028,0.0349335,0.0957935,-0.0464622,-0.336391,0.0,0.0,-5.86225
1050115430,-35.5011,-0.546216,-1.12783,0.0349335,0.0937742,-0.0675165,-0.296936,0.0,0.0,-5.82582
1050216160,-35.4953,-0.549971,-1.11375,0.0349335,0.075206,-0.0712008,-0.284997,0.0,0.0,-5.83754
1050315452,-35.4917,-0.555592,-1.2474,0.0349335,0.0692945,-0.0668148,-0.278509,0.0,0.0,-5.78442
1050415813,-35.4837,-0.55849,-1.35081,0.0349335,0.0353076,-0.030101,-0.286719,0.0,0.0,-5.86564
1050516509,-35.4887,-0.558231,-1.2419,0.0349335,0.0,0.0,-0.294614,0.0,0.0,-6.11996
1050616660,-35.4886,-0.569644,-1.14972,0.0349335,0.0,0.0,-0.233455,0.0,0.0,-6.05125
1050716627,-35.4945,-0.573547,-1.19219,0.0349335,0.0,0.0,-0.2505,0.0,0.0,-5.99618
1050826830,-35.4976,-0.580835,-1.1974,0.0349335,0.0,0.0,-0.256736,0.0,0.0,-5.98837
1050926923,-35.5014,-0.580627,-1.07862,0.0349335,0.0,0.0,-0.256811,0.0,0.0,-6.02152
1051026818,-35.5036,-0.583292,-1.16247,0.0349335,0.0,0.0,-0.25547,0.0,0.0,-5.92846
1051127048,-35.5052,-0.58291,-1.2419,0.0349335,0.0,0.0,-0.259229,0.0,0.0,-5.83695
1051227574,-35.5075,-0.578486,-1.17254,0.0349335,0.0,0.0,-0.258987,0.0,0.0,-5.91305
1051327522,-35.5138,-0.571539,-1.12856,0.0349335,0.0,0.0,-0.257027,0.0,0.0,-5.91904
1051427777,-35.5191,-0.564982,-1.16126,0.0349335,-0.0149683,0.00688144,-0.247408,0.0,0.0,-5.84728
1051527899,-35.5236,-0.55618,-1.29537,0.0349335,-0.0357018,0.0181655,-0.250172,0.0,0.0,-5.84027
1051638218,-35.5313,-0.546198,-1.20639,0.0349335,-0.0482472,0.0249462,-0.239005,0.0,0.0,-5.89969
1051738632,-35.5387,-0.531695,-1.13138,0.0349335,-0.0861332,0.0411815,-0.247833,0.0,0.0,-5.96581
1051838817,-35.5485,-0.516799,-1.1706,0.0349335,-0.122516,0.0565549,-0.215889,0.0,0.0,-5.86529
1051938844,-35.5597,-0.512543,-1.13241,0.0349335,-0.150901,0.0612799,-0.0981673,0.0,0.0,-5.68928
