timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
1045018440,0.00543674,0.0680506,-0.0259806,-0.999803,-0.0027634,-0.00705782,0.0183301
1045050434,0.0418137,0.102834,-0.0122665,-0.999787,-0.0027864,-0.00862783,0.0185397
1045078446,0.0387177,0.0559712,-0.0148921,-0.999771,-0.003494,-0.00974737,0.0187451
1045110436,-0.0363375,0.0050518,-0.0180339,-0.999762,-0.00357901,-0.0101147,0.0190209
1045142432,-0.0657378,-0.0465878,-0.0261439,-0.999763,-0.00272249,-0.00964105,0.0193502
1045174424,-0.088395,-0.0531346,-0.0341846,-0.999764,-0.00145948,-0.00877625,0.0198058
1045206433,-0.0107081,-0.0705535,-0.026271,-0.999766,-0.000620421,-0.00755114,0.0202856
1045238422,-0.00810593,-0.0513703,-0.0433715,-0.999761,-0.000709475,-0.00642915,0.0208696
1045270434,-0.0292868,-0.03187,-0.0450774,-0.999751,-0.000142372,-0.00561547,0.0215822
1045302425,0.0157104,-0.0410478,-0.0554233,-0.999738,1.88054e-05,-0.00478603,0.0223881
1045330441,0.0099205,-0.041299,-0.0574058,-0.999723,-0.000130654,-0.00397959,0.0231896
1045363256,-0.0309177,-0.0439912,-0.0619707,-0.9997,0.000270797,-0.00298269,0.0242918
1045396055,-0.0353423,-0.0349493,-0.077874,-0.999673,0.000928005,-0.00224307,0.0254426
1045428034,-0.0085219,-0.0423396,-0.0879395,-0.99964,0.00127683,-0.0012752,0.02676
1045460021,-0.0118706,-0.072635,-0.0968657,-0.999601,0.00151572,-0.000254164,0.0281978
1045488034,-0.00696475,-0.0758604,-0.113842,-0.999559,0.00187815,0.00113943,0.0296314
1045520018,-0.0241785,-0.055577,-0.105607,-0.999508,0.00216315,0.00221748,0.0312087
1045552038,-0.0649357,-0.0670459,-0.0925785,-0.999451,0.00299687,0.00315293,0.0328566
1045584058,0.0573686,-0.0826233,-0.0920441,-0.999391,0.00288411,0.0045099,0.0344905
1045616014,-0.0866682,-0.0870897,-0.12795,-0.999318,0.00270178,0.00592199,0.036357
1045648030,-0.0743168,-0.140645,-0.123288,-0.999227,0.00432781,0.00758111,0.0383351
1045680015,0.00465692,-0.217023,-0.119815,-0.999137,0.00440494,0.0101971,0.0400281
1045712077,-0.0288639,-0.276638,-0.118634,-0.999016,0.00499136,0.0137496,0.0418661
1045740037,0.0379409,-0.303807,-0.114093,-0.998887,0.00509477,0.0175573,0.0434795
1045772018,0.0116433,-0.363394,-0.108045,-0.998699,0.0050462,0.0232746,0.0450986
1045804013,0.132778,-0.311757,-0.0811349,-0.998498,0.00411461,0.0286231,0.0465398
1045836014,0.191592,-0.299676,-0.0955374,-0.99828,0.00140986,0.0339346,0.047789
1045868014,0.320408,-0.289376,-0.0841909,-0.998028,-0.00289058,0.0390994,0.0490211
