timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1043303419,1043299254,-0.000630374,-0.0157298,-0.0035093,0.0,0.0,0.0,0.0,-1.0
1043407375,1043403250,-0.0131125,-0.0154283,0.000686673,0.0,0.0,0.0,0.0,-1.0
1043509058,1043504859,-0.00373135,-0.0173776,0.00122503,0.0,0.0,0.0,0.0,-1.0
1043608968,1043604834,0.00988818,-0.0177187,-0.00139086,0.0,0.0,0.0,0.0,-1.0
1043713053,1043708814,-0.0237259,-0.0168092,-0.000510463,0.0,0.0,0.0,0.0,-1.0
1043813001,1043808850,-0.0152987,-0.0168719,0.00252515,0.0,0.0,0.0,0.0,-1.0
1043912972,1043908848,-0.00113858,-0.0134487,0.0026019,0.0,0.0,0.0,0.0,-1.0
1044017098,1044012846,-0.00940942,-0.0157022,0.0010163,0.0,0.0,0.0,0.0,-1.0
1044117128,1044112816,-0.0151837,-0.0129485,-0.00156727,0.0,0.0,0.0,0.0,-1.0
1044221029,1044216816,-0.0242266,-0.0154792,0.000135998,0.0,0.0,0.0,0.0,-1.0
1044320999,1044316834,-0.0117516,-0.0153769,0.00278545,0.0,0.0,0.0,0.0,-1.0
1044421805,1044416849,0.00355081,-0.0145603,0.00367574,0.0,0.0,0.0,0.0,-1.0
1044522604,1044518434,-0.000575403,-0.015828,0.00207653,0.0,0.0,0.0,0.0,-1.0
1044627590,1044622409,-0.00698747,-0.0146333,-0.00139795,0.0,0.0,0.0,0.0,-1.0
1044727603,1044722413,-0.0105012,-0.0162417,-0.000637163,0.0,0.0,0.0,0.0,-1.0
1044827656,1044822418,-0.0117848,-0.0304457,0.0113813,0.397631,0.0,0.0,0.0,-1.0
1044930589,1044926414,-0.0076995,0.0116004,0.00795102,0.422124,0.0,0.0,0.0,-1.0
1045030662,1045026463,0.0254699,-0.0318557,0.00448238,0.489493,0.0,0.0,0.0,-1.0
1045134635,1045130433,0.0045106,-0.0130543,0.00467036,0.531889,0.0,0.0,0.0,-1.0
1045234581,1045230433,0.00202461,-0.0141081,0.010035,0.577803,0.0,0.0,0.0,-1.0
1045338978,1045334441,0.0198566,0.0096197,0.0189237,0.60162,0.0,0.0,0.0,-1.0
1045440298,1045436058,-0.0106992,-0.0209998,0.0245914,0.629458,0.0,0.0,0.0,-1.0
1045544197,1045540040,0.0168339,0.00569336,0.0337116,0.632511,0.0,0.0,0.0,-1.0
1045644263,1045640014,0.00735024,0.0129377,0.0410845,0.601787,0.0,0.0,0.0,-1.0
1045744216,1045740037,0.0431949,0.0387226,0.041795,0.557345,0.0,0.0,0.0,-1.0
1045849302,1045844013,0.00419968,-0.0171219,0.0441613,0.519572,0.0,0.0,0.0,-1.0
1045948218,1045944048,-0.036876,0.0353922,0.0400784,0.560825,0.0,0.0,0.0,-1.0
1046048216,1046044040,0.0133651,0.0140853,0.0421299,0.562155,0.0,0.0,0.0,-1.0
1046152199,1046148032,-0.0306996,0.00758064,0.0425339,0.669097,0.0,0.0,0.0,-1.0
1046252207,1046248041,0.0161499,-0.015565,0.0521543,0.696348,0.0,0.0,0.0,-1.0
1046353792,1046349640,0.00652502,-0.0302202,0.0558395,0.664795,0.0,0.0,0.0,-1.0
1046453788,1046449634,0.0138975,-0.00456028,0.0578552,0.581417,0.0,0.0,0.0,-1.0
1046557871,1046553656,0.00676381,-0.00637534,0.0587996,0.571736,0.0,0.0,0.0,-1.0
1046657833,1046653626,-0.023352,-0.00352127,0.0631239,0.506109,0.0,0.0,0.0,-1.0
1046761877,1046757632,0.0189869,-0.00139417,0.0652531,0.575875,0.0,0.0,0.0,-1.0
1046861829,1046857647,0.0551991,-0.00490174,0.0693553,0.630758,0.0,0.0,0.0,-1.0
1046961895,1046957641,0.00930013,-0.00836622,0.0709559,0.600195,0.0,0.0,0.0,-1.0
1047065764,1047061643,-0.0239017,0.0045294,0.073465,0.581221,0.0,0.0,0.0,-1.0
1047165837,1047161634,0.0185231,0.00282202,0.0736746,0.557669,0.0,0.0,0.0,-1.0
1047265931,1047261641,0.033225,-0.0166383,0.0749667,0.576183,0.0,0.0,0.0,-1.0
1047371841,1047367283,0.00607477,-0.00965217,0.0712929,0.600133,0.0,0.0,0.0,-1.0
1047475390,1047471243,-0.0103031,-0.0164128,0.072785,0.616847,0.0,0.0,0.0,-1.0
1047575405,1047571228,0.0257802,-0.0188385,0.0645523,0.682739,0.0,0.0,0.0,-1.0
1047675532,1047671246,0.0160398,-0.00274858,0.0536505,0.662743,0.0,0.0,0.0,-1.0
1047779424,1047775256,0.0214802,-0.0132994,0.0500348,0.625694,0.0,0.0,0.0,-1.0
1047879489,1047875254,-0.0122866,-0.0176182,0.0404738,0.606431,0.0,0.0,0.0,-1.0
1047983419,1047979253,-0.00419156,0.0335925,0.0439795,0.544305,0.0,0.0,0.0,-1.0
1048083623,1048079248,0.00129139,-0.0175053,0.038464,0.598887,0.0,0.0,0.0,-1.0
1048183573,1048179250,-0.0222267,-0.0153149,0.0351402,0.634191,0.0,0.0,0.0,-1.0
1048284991,1048280834,0.0168303,0.00483565,0.0318287,0.634815,0.0,0.0,0.0,-1.0
1048389012,1048384834,0.00198404,-0.00570034,0.0222923,0.626624,0.0,0.0,0.0,-1.0
1048488967,1048484851,0.0228805,-0.00974592,0.0182948,0.62459,0.0,0.0,0.0,-1.0
1048593560,1048588819,-0.000883384,-0.0148612,0.014268,0.622341,0.0,0.0,0.0,-1.0
1048693581,1048688811,-0.0132846,0.00900465,0.00843908,0.615552,0.0,0.0,0.0,-1.0
1048793738,1048788834,-0.0136032,-0.00352807,0.00259366,0.614004,0.0,0.0,0.0,-1.0
1048897067,1048892812,0.0438904,0.000400929,-0.00560824,0.611211,0.0,0.0,0.0,-1.0
1048997046,1048992841,-0.0169406,-0.00928126,-0.0134579,0.586756,0.0,0.0,0.0,-1.0
1049097077,1049092848,-0.0448441,-0.00175044,-0.020086,0.616616,0.0,0.0,0.0,-1.0
1049198581,1049194434,-0.0213672,0.0143359,-0.01875,0.615962,0.0,0.0,0.0,-1.0
1049302589,1049298448,-0.0159076,0.00582016,-0.0202114,0.620041,0.0,0.0,0.0,-1.0
1049402569,1049398434,-0.0286949,0.00885248,-0.0202746,0.61771,0.0,0.0,0.0,-1.0
1049502617,1049498413,0.00229145,-0.00939153,-0.0266008,0.611047,0.0,0.0,0.0,-1.0
1049606656,1049602457,0.0228773,0.00148527,-0.0201389,0.614311,0.0,0.0,0.0,-1.0
1049706566,1049702437,-0.00654269,-0.0168771,-0.0232242,0.61186,0.0,0.0,0.0,-1.0
1049810618,1049806441,0.0154248,-0.025281,-0.0253513,0.605109,0.0,0.0,0.0,-1.0
1049910626,1049906436,0.00192023,-0.0189025,-0.0333973,0.59775,0.0,0.0,0.0,-1.0
1050010670,1050006415,0.0314742,-0.0287391,-0.0404805,0.596696,0.0,0.0,0.0,-1.0
1050115319,1050110423,0.00579991,-0.0170624,-0.0471154,0.592953,0.0,0.0,0.0,-1.0
1050216331,1050212039,0.0511267,0.00135265,-0.0539089,0.595101,0.0,0.0,0.0,-1.0
1050316242,1050312074,-0.0177612,-0.00150478,-0.0555489,0.58962,0.0,0.0,0.0,-1.0
1050416217,1050412025,-0.0222004,-0.0220922,-0.0562286,0.59763,0.0,0.0,0.0,-1.0
1050520268,1050516014,-0.0181784,-0.0166426,-0.0575923,0.623553,0.0,0.0,0.0,-1.0
1050620171,1050616020,-0.0552432,-0.0177261,-0.0522695,0.616557,0.0,0.0,0.0,-1.0
