timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1043303225,0.295963,0.263609,-9.73551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999878,-0.00107895,-0.00843453,0.0130867,0.0,0.0,0.0,0.0,-0.0435847,0.0144718,0.0153572,0.0,0.0,0.0,0.0,0,0
1043407222,-0.163877,-1.5003,-9.66207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999871,0.000297751,-0.00841117,0.0136883,0.0,0.0,0.0,0.0,0.0369493,0.000507617,-0.00208113,0.0,0.0,0.0,0.0,0,0
1043508834,0.338719,0.805295,-9.97568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999866,0.000691664,-0.00840956,0.0140048,0.0,0.0,0.0,0.0,-0.00961804,0.00588061,-0.0079452,0.0,0.0,0.0,0.0,0,0
1043608816,0.161222,0.408389,-9.72477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999861,-1.50501e-05,-0.00857478,0.0142921,0.0,0.0,0.0,0.0,0.00939877,0.0059753,0.00471087,0.0,0.0,0.0,0.0,0,0
1043712847,0.0280813,-0.713029,-9.92608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999859,-0.0013052,-0.00866136,0.0143471,0.0,0.0,0.0,0.0,0.059757,-0.00158591,0.00278035,0.0,0.0,0.0,0.0,0,0
1043812813,0.110644,-0.311041,-9.83325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999851,-0.00341201,-0.00857778,0.0145768,0.0,0.0,0.0,0.0,0.0664385,-0.00308631,-0.0115863,0.0,0.0,0.0,0.0,0,0
1043912813,0.257627,0.433339,-9.84256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999842,-0.00536028,-0.008237,0.014808,0.0,0.0,0.0,0.0,0.0397619,-0.0121464,-0.0134952,0.0,0.0,0.0,0.0,0,0
1044016837,0.262545,0.248195,-9.97008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999838,-0.00612404,-0.00782557,0.0150432,0.0,0.0,0.0,0.0,-0.0271534,0.000975105,-0.00670008,0.0,0.0,0.0,0.0,0,0
1044116859,0.0950553,-0.366973,-9.64576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999835,-0.00614919,-0.00772987,0.0152245,0.0,0.0,0.0,0.0,-0.0280134,0.0024019,0.00603324,0.0,0.0,0.0,0.0,0,0
1044220833,-0.0027274,-0.884251,-9.91588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999833,-0.00624659,-0.00764269,0.0153485,0.0,0.0,0.0,0.0,0.0318768,0.00345626,0.000997846,0.0,0.0,0.0,0.0,0,0
1044320836,0.114611,-0.21339,-9.69547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999826,-0.00615287,-0.00802823,0.0156648,0.0,0.0,0.0,0.0,0.0263257,0.00310152,-0.0124826,0.0,0.0,0.0,0.0,0,0
1044421648,0.260566,0.336751,-9.69935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999825,-0.00527843,-0.0080196,0.0160608,0.0,0.0,0.0,0.0,-0.0188981,-0.00492369,-0.0186911,0.0,0.0,0.0,0.0,0,0
1044522453,0.266396,0.473028,-9.83732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999822,-0.00441523,-0.0080056,0.0165256,0.0,0.0,0.0,0.0,-0.0483844,0.00496972,-0.0124995,0.0,0.0,0.0,0.0,0,0
1044626435,0.0672364,-0.459744,-9.83349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999822,-0.00309405,-0.00797951,0.0168359,0.0,0.0,0.0,0.0,-0.0502457,-0.00374156,0.00550947,0.0,0.0,0.0,0.0,0,0
1044726447,0.0102816,-0.588916,-9.8317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999821,-0.00177832,-0.00792036,0.0170949,0.0,0.0,0.0,0.0,0.00308856,0.0063695,0.00343675,0.0,0.0,0.0,0.0,0,0
1044826432,-0.249212,-3.99153,-11.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99981,-0.00142571,-0.00870016,0.017408,0.0,0.0,0.0,0.0,0.0333882,0.0187075,-0.0236054,0.0,0.0,0.0,0.0,0,0
1044930413,-0.584901,-0.319158,-7.13856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9998,-0.00273338,-0.00897915,0.0176568,0.0,0.0,0.0,0.0,0.0451072,-0.0736404,-0.0310967,0.0,0.0,0.0,0.0,0,0
1045030432,0.532636,-0.277854,-12.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999799,-0.0026724,-0.00758156,0.0183672,0.0,0.0,0.0,0.0,-0.0160079,0.0923373,-0.0103927,0.0,0.0,0.0,0.0,0,0
1045134444,-0.359511,-0.110591,-9.40584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999762,-0.00296205,-0.00983062,0.0192637,0.0,0.0,0.0,0.0,-0.0536126,-0.029924,-0.0158313,0.0,0.0,0.0,0.0,0,0
1045234417,-0.514649,0.00194794,-10.8087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999763,-0.000721404,-0.00655642,0.0207673,0.0,0.0,0.0,0.0,0.00547432,-0.0553358,-0.0364006,0.0,0.0,0.0,0.0,0,0
1045338447,-0.685672,-0.137686,-10.3079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999718,-0.000118089,-0.00373561,0.0234592,0.0,0.0,0.0,0.0,-0.0155508,-0.0603492,-0.0662741,0.0,0.0,0.0,0.0,0,0
1045440032,-0.308461,-0.448543,-12.1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999627,0.00142055,-0.000890139,0.0272702,0.0,0.0,0.0,0.0,-0.0130983,-0.0412779,-0.0865933,0.0,0.0,0.0,0.0,0,0
1045544040,-0.283906,-0.212402,-11.1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999465,0.00268119,0.0029178,0.0324776,0.0,0.0,0.0,0.0,-0.0837313,-0.0620098,-0.110669,0.0,0.0,0.0,0.0,0,0
1045644013,0.842653,-0.388272,-10.2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999242,0.00412108,0.00722436,0.0380184,0.0,0.0,0.0,0.0,-0.0654853,-0.108052,-0.119555,0.0,0.0,0.0,0.0,0,0
1045744018,-0.0647982,-0.275974,-8.30548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.998867,0.00503674,0.0182191,0.0436696,0.0,0.0,0.0,0.0,0.0365912,-0.343774,-0.10449,0.0,0.0,0.0,0.0,0,0
1045848027,-0.119288,-0.386635,-8.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.998182,3.20951e-06,0.0360292,0.0483104,0.0,0.0,0.0,0.0,0.232583,-0.30986,-0.0941134,0.0,0.0,0.0,0.0,0,0
1045948017,0.248736,0.151794,-8.33515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.997429,-0.0140258,0.0480662,0.0512738,0.0,0.0,0.0,0.0,0.163242,-0.144957,-0.0672038,0.0,0.0,0.0,0.0,0,0
1046048019,-0.106205,0.184767,-8.55061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.997402,-0.0150498,0.0446485,0.0544933,0.0,0.0,0.0,0.0,0.0684488,0.189846,-0.0651551,0.0,0.0,0.0,0.0,0,0
1046152045,-0.173421,0.0456079,-10.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.997564,-0.0238221,0.0328202,0.0567502,0.0,0.0,0.0,0.0,0.174859,0.297905,-0.0569642,0.0,0.0,0.0,0.0,0,0
