timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1043305411,-0.0,0.0,-0.0261587,3.1761e-25,0.999914,0.0,0.0,-0.013079,0.0,-1.0,1,0,0,0,0,0,0
1043335839,-0.0,0.0,-0.0259295,3.1761e-25,0.999916,0.0,0.0,-0.0129644,0.0,-1.0,1,0,0,0,0,0,0
1043366064,-0.0,0.0,-0.0270148,3.1761e-25,0.999909,0.0,0.0,-0.013507,0.0,-1.0,1,0,0,0,0,0,0
1043395946,-0.0,0.0,-0.0274868,3.1761e-25,0.999906,0.0,0.0,-0.013743,0.0,-1.0,1,0,0,0,0,0,0
1043425657,-0.0,0.0,-0.0275184,3.1761e-25,0.999905,0.0,0.0,-0.0137588,0.0,-1.0,1,0,0,0,0,0,0
1043466575,-0.0,0.0,-0.0276546,3.1761e-25,0.999904,0.0,0.0,-0.0138269,0.0,-1.0,1,0,0,0,0,0,0
1043495601,-0.0,0.0,-0.0278236,3.1761e-25,0.999903,0.0,0.0,-0.0139113,0.0,-1.0,1,0,0,0,0,0,0
1043525917,-0.0,0.0,-0.0280575,3.1761e-25,0.999902,0.0,0.0,-0.0140283,0.0,-1.0,1,0,0,0,0,0,0
1043555640,-0.0,0.0,-0.0279963,3.1761e-25,0.999902,0.0,0.0,-0.0139977,0.0,-1.0,1,0,0,0,0,0,0
1043596188,-0.0,0.0,-0.0285572,3.1761e-25,0.999898,0.0,0.0,-0.0142781,0.0,-1.0,1,0,0,0,0,0,0
1043625838,-0.0,0.0,-0.028475,3.1761e-25,0.999899,0.0,0.0,-0.014237,0.0,-1.0,1,0,0,0,0,0,0
1043656426,-0.0,0.0,-0.0285503,3.1761e-25,0.999898,0.0,0.0,-0.0142746,0.0,-1.0,1,0,0,0,0,0,0
